,label
75101,1
75102,1
75103,1
75104,1
75105,1
75106,1
75107,1
75108,1
75109,1
75110,1
75111,1
75112,1
75113,1
75114,1
75115,1
75116,1
75117,1
75118,1
75119,1
75120,1
77020,2
77022,1
77023,2
77025,1
77027,1
77034,1
77035,1
77037,1
77039,2
77048,0
77050,0
77051,1
77052,1
77055,0
77073,0
77079,1
77081,0
77083,0
77084,0
77104,0
77108,1
77114,0
77121,0
77122,0
77123,0
77129,1
77133,2
77146,1
77165,1
77169,1
77174,0
77178,1
77181,0
77186,1
77199,1
77202,0
77205,1
77215,0
77216,1
77217,1
77221,1
77226,1
77232,1
77238,1
77249,1
77251,0
77255,0
77258,1
77265,2
77266,0
77267,0
77268,2
77274,2
77280,1
77281,1
77283,1
77291,2
77296,1
77301,0
77306,1
77307,2
77309,1
77318,1
77322,2
77326,1
77330,0
77331,1
77335,2
77337,1
77339,1
77341,1
77344,1
77347,0
77349,1
77350,1
77361,2
77363,0
77371,1
77373,0
77374,0
77376,2
77382,0
77385,0
77390,1
77393,0
77395,1
77401,2
77405,1
77407,0
77409,1
77431,1
77432,1
77435,1
77436,1
77439,1
77441,1
77442,1
77447,1
77450,2
77452,0
77455,1
77456,1
77458,1
77459,1
77463,1
77464,1
77468,0
77469,0
77479,2
77480,1
77486,0
77494,1
77496,0
77500,0
77509,1
77510,0
77514,0
77518,1
77530,0
77533,1
78003,0
78005,0
78007,1
78031,0
78033,1
78043,1
78073,1
78092,0
78117,0
78120,1
78123,1
78124,1
78125,1
78126,1
78138,2
78143,1
78146,1
78152,1
78162,1
78164,0
78165,1
78172,1
78188,2
78189,1
78190,1
78192,2
78196,1
78206,0
78208,1
78217,1
78220,0
78224,1
78227,1
78236,0
78238,1
78242,0
78251,1
78255,0
78263,1
78265,1
78269,1
78290,2
78297,1
78302,1
78311,1
78321,1
78322,1
78327,1
78346,1
78350,1
78356,1
78358,0
78362,1
78367,1
78368,1
78372,1
78380,1
78382,1
78383,1
78385,0
78389,1
78402,0
78418,1
78423,1
78440,0
78466,1
78481,1
78490,0
78498,1
78499,2
78501,2
78502,0
78513,1
78518,0
78520,1
78524,1
78530,1
78531,2
78545,1
78550,1
78551,1
78562,1
78571,1
78575,1
78586,1
78588,2
78609,0
78615,0
78616,0
78621,0
78624,0
78640,0
78642,1
78643,0
78644,1
78646,1
78650,1
78672,1
78686,1
78688,1
91016,2
91021,1
91027,0
91045,1
91064,1
91079,2
91081,1
91085,1
91086,1
91095,0
91097,0
91099,1
91100,0
91103,0
91115,2
91122,1
91132,0
91159,0
91161,0
91174,2
91179,2
91182,1
91191,1
91201,0
91207,0
91215,0
91228,0
91273,1
91274,2
91286,0
91312,1
91315,1
91319,0
91326,0
91330,1
91332,2
91340,2
91345,1
91347,1
91363,1
91377,0
91390,1
91393,0
91399,2
91411,1
91412,1
91414,1
91421,0
91432,0
91434,0
91461,0
91463,0
91468,2
91477,0
91495,0
91521,1
91538,1
91552,0
91570,1
91573,2
91578,1
91579,0
91581,1
91589,1
91593,1
91599,1
91600,1
91602,0
91613,0
91617,2
91631,1
91645,1
91648,1
91649,0
91654,1
91657,2
91665,1
91666,1
91667,1
91685,0
91687,1
91689,2
91691,1
91692,1
92012,1
92024,1
92050,0
91479,0
92002,1
92004,0
92007,0
92009,1
92014,1
92019,0
92020,0
92022,0
92023,1
92025,1
92026,1
92032,1
92033,1
92035,0
92036,0
92040,0
92044,1
92046,1
92047,0
92048,1
92049,1
92051,1
92060,2
92062,1
92063,1
92064,1
92071,1
92072,0
92073,1
92075,0
92076,1
92077,0
92078,1
93001,0
93005,1
93006,0
93007,0
93008,0
93010,1
93013,2
93014,1
93015,1
93027,0
93029,0
93030,1
93031,1
93032,1
93033,0
93039,0
93045,1
93046,0
93047,0
93048,1
93049,1
93050,0
93051,0
93053,0
93055,0
93057,2
93059,0
93061,1
93062,0
93063,1
93064,0
93066,1
93070,1
93071,1
93072,0
93073,1
93074,2
93077,0
93078,1
93079,1
94001,0
94002,1
94003,0
94004,1
94011,1
94015,0
94016,0
94017,1
94018,0
94019,1
94021,0
94022,2
94028,1
94033,1
94034,0
94037,1
94038,1
94041,1
94042,0
94043,1
94044,0
94046,0
94052,1
94053,1
94054,0
94055,1
94056,0
94058,0
94059,1
94060,0
94065,1
94067,1
94068,1
94069,1
94071,1
94073,1
94074,0
94075,1
94076,2
94077,0
94078,1
94079,0
94080,1
94081,0
95018,0
95039,0
95051,1
95052,0
95144,2
95176,1
95197,1
95199,0
95205,1
95212,2
95219,0
95229,0
95252,0
95253,1
95257,1
95268,0
95288,1
95306,0
95313,1
95323,1
95341,2
95388,0
95394,1
95424,0
95427,1
95428,1
95450,2
95456,1
95462,0
95476,0
95487,0
95488,1
95539,1
95555,0
95563,1
95572,1
95574,1
95582,0
95585,1
95598,0
95604,0
95607,1
95612,1
95637,1
95676,0
95680,0
95054,1
95060,1
95063,1
95091,1
95094,1
95116,2
95127,0
95134,1
95150,1
95177,2
95181,1
95203,1
95210,1
95218,1
95256,2
95303,0
