Code;Libellé;Nb de logements 2014;Nb de résidences principales 2014;Part des locataires HLM dans les rés. principales 2014;NB_LOGEMENTS_LOCATIFS_SOCIAUX
92002;Antony;26002;26002;18.5;5325
92004;Asnières-sur-Seine;38218;38218;18.6;8033
92007;Bagneux;16003;16003;56.4;10809
92009;Bois-Colombes;12416;12416;18.3;2301
92012;Boulogne-Billancourt;57206;57206;11;8216
92014;Bourg-la-Reine;8947;8947;18;1565
92019;Châtenay-Malabry;13705;13705;38.6;6651
92020;Châtillon;16494;16494;24.4;3868
92022;Chaville;8526;8526;19;2129
92023;Clamart;21839;21839;26.6;6670
92024;Clichy;27300;27300;29.4;9213
92025;Colombes;34030;34030;28;11733
92026;Courbevoie;39233;39233;20.9;8711
92032;Fontenay-aux-Roses;10125;10125;31.5;4450
92033;Garches;7406;7406;12.7;1832
92035;La Garenne-Colombes;13148;13148;12.2;1622
92036;Gennevilliers;16621;16621;58;11658
92040;Issy-les-Moulineaux;30925;30925;24;7588
92044;Levallois-Perret;31277;31277;19;5853
92046;Malakoff;14360;14360;40.2;5855
92047;Marnes-la-Coquette;621;621;14.5;82
92048;Meudon;19472;19472;21.6;5338
92049;Montrouge;24412;24412;17.4;5000
92050;Nanterre;35991;35991;49.2;20574
92051;Neuilly-sur-Seine;29587;29587;5;1757
92060;Le Plessis-Robinson;12627;12627;32.7;5002
92062;Puteaux;20866;20866;26.6;6178
92063;Rueil-Malmaison;33312;33312;22.4;8090
92064;Saint-Cloud;12825;12825;14.2;2150
92071;Sceaux;8523;8523;23.9;1850
92072;Sèvres;9754;9754;22.7;2321
92073;Suresnes;21081;21081;34.5;7554
92075;Vanves;13129;13129;22.1;3042
92076;Vaucresson;3535;3535;7.8;275
92077;Ville-d'Avray;4810;4810;7.2;532
92078;Villeneuve-la-Garenne;9005;9005;58.7;4942
