Geometry X Y;Geometry;INSEE;lv1962;lv1968;lv1975;lv1982;lv1990;lv1999;lv2006;Lv2007;Lv2008;Lv2009
48.4681195644, 2.4219159226;"{""type"": ""Polygon"", ""coordinates"": [[[2.43631974368938, 48.48045664709896], [2.436014048295813, 48.476356341200216], [2.444573000328951, 48.47535929329274], [2.441704170612123, 48.46811406136096], [2.448153270912756, 48.46154335363159], [2.444402908827302, 48.452860278937344], [2.412585932562773, 48.456231450003465], [2.406131831353997, 48.46206274424366], [2.39981560453017, 48.460456825533335], [2.40560441740498, 48.47181990143907], [2.386091383257644, 48.47317001641374], [2.391062795707112, 48.4806854498295], [2.402866043835307, 48.47702819545262], [2.407876074687687, 48.48114368926796], [2.43631974368938, 48.48045664709896]]]}";91654;9.0;18.0;7.0;14.0;8.0;19.0;19.78;19.387755;19.0;18.936027
48.4553202619, 2.05237175983;"{""type"": ""Polygon"", ""coordinates"": [[[2.070533266397001, 48.464064192597], [2.082402265061313, 48.45928049452839], [2.078191907297973, 48.457742229509975], [2.07355906226868, 48.44916170150029], [2.063289954620244, 48.44343611132274], [2.051835520512278, 48.446959886471895], [2.03835338406985, 48.44566618959097], [2.021254300637835, 48.457350345652095], [2.021592374313749, 48.46084038885846], [2.035606949153409, 48.46033547226946], [2.038110161926709, 48.46464681737023], [2.070533266397001, 48.464064192597]]]}";91098;0.0;6.0;4.0;8.0;5.0;6.0;3.25;3.125;3.0;3.3
48.4485812139, 2.6006307904;"{""type"": ""Polygon"", ""coordinates"": [[[2.63024585640594, 48.45625301714551], [2.621888412792444, 48.44631065550387], [2.599384687210793, 48.438856395814604], [2.598197777302892, 48.434129093661575], [2.580569936913129, 48.44112873478592], [2.584505157618211, 48.45253166038541], [2.578939780113156, 48.45338902941121], [2.576443033365358, 48.45991393109313], [2.61287037868845, 48.45323029620376], [2.623189894500639, 48.45881598800493], [2.63024585640594, 48.45625301714551]]]}";77022;41.0;32.0;40.0;34.0;39.0;32.0;48.06;48.533332;106.42;119.208623
48.4491192486, 2.29601662473;"{""type"": ""Polygon"", ""coordinates"": [[[2.292991832248223, 48.45916218056447], [2.311031124979509, 48.452315451205386], [2.308505480335515, 48.448286239377815], [2.319051104572385, 48.441885745334716], [2.30929531047103, 48.43760342029619], [2.296939360651379, 48.442536610446936], [2.293211012454166, 48.44027813591376], [2.275358361533339, 48.45079100554333], [2.281688563172232, 48.45959787192749], [2.292991832248223, 48.45916218056447]]]}";91473;0.0;0.0;1.0;4.0;2.0;1.0;2.06;2.0625;4.41;4.206667
48.4144606754, 3.27686483109;"{""type"": ""Polygon"", ""coordinates"": [[[3.297714425522062, 48.449631011429666], [3.291438228612611, 48.443056157522356], [3.29470161813357, 48.437704605889984], [3.295883945027256, 48.4316871421027], [3.296482920934549, 48.42909202636601], [3.290300428329846, 48.42872163759769], [3.298479977827172, 48.41978511526838], [3.296136388783242, 48.40533503701115], [3.284809108778627, 48.404873017685084], [3.287860434848199, 48.39697840792007], [3.282629860836063, 48.39531360842183], [3.287345696331362, 48.38691946086946], [3.285696006653831, 48.38100841769783], [3.282469380543346, 48.377490659233665], [3.27218046324912, 48.37879935688269], [3.267772362734094, 48.38786479361339], [3.262294525258934, 48.388809091598446], [3.26076607531239, 48.402589989507035], [3.254350656462136, 48.40922518362942], [3.247000145228064, 48.41132603114565], [3.247660444963773, 48.41793063278297], [3.262400989749606, 48.42458274728844], [3.27099028933986, 48.43015981078258], [3.264496868997054, 48.431238475511094], [3.277071931644398, 48.43956122134608], [3.275570713649909, 48.44600380135414], [3.289829061636574, 48.45155030304956], [3.297714425522062, 48.449631011429666]]]}";77236;6.0;5.0;3.0;9.0;11.0;4.0;8.13;4.484613;4.24;4.0
48.4314872308, 2.34592350222;"{""type"": ""Polygon"", ""coordinates"": [[[2.3628177044901, 48.448934126226334], [2.36123157709224, 48.439537384335196], [2.373485559365089, 48.43418355559002], [2.355860890317357, 48.42563614140137], [2.357168893658367, 48.419350216121934], [2.345199294660385, 48.417481344368554], [2.332420389062836, 48.41205918429905], [2.327490004435839, 48.413093023142466], [2.325285573712233, 48.4248998511608], [2.328959204516572, 48.43346093833732], [2.330228525242001, 48.44056503334421], [2.337864513223422, 48.43959402025959], [2.340027260206293, 48.44527719328641], [2.35073243767903, 48.44613963341357], [2.353140095422532, 48.45134593093492], [2.360386224663143, 48.45239675549425], [2.3628177044901, 48.448934126226334]]]}";91639;8.0;6.0;15.0;14.0;20.0;13.0;2.18;2.0;2.03;1.99422
48.4224919657, 2.94891752532;"{""type"": ""Polygon"", ""coordinates"": [[[2.965359191072846, 48.436030413615725], [2.969366658977961, 48.42161067171241], [2.97224206635192, 48.40650473272519], [2.937404175907961, 48.39708192126986], [2.924912185251153, 48.432713729898154], [2.927116842058781, 48.43517524947065], [2.937602776633236, 48.442979715753246], [2.95770627062099, 48.44772729381527], [2.965359191072846, 48.436030413615725]]]}";77194;6.0;11.0;15.0;13.0;7.0;8.0;7.78;7.38889;7.0;7.04375
48.3840881802, 3.0325148872;"{""type"": ""Polygon"", ""coordinates"": [[[3.075809051608698, 48.39727800990323], [3.075116316033622, 48.375906580579844], [3.072792619599173, 48.36933001529685], [3.039482233265092, 48.37504572187131], [3.037570748528427, 48.370588192444636], [3.029006346146662, 48.3720079004652], [3.023659997388925, 48.35908200256981], [3.013762235733817, 48.363575183876556], [3.011579109605341, 48.37383995939414], [3.005350988689853, 48.3744255495243], [3.00061163769692, 48.3671604064638], [2.993782027744534, 48.36607623488477], [2.992999404239121, 48.37847273958277], [2.985163271946769, 48.3789945740115], [2.989557346342629, 48.38574979641597], [2.982395876481571, 48.3936775405721], [2.99334442077185, 48.39555692915643], [3.010493677147058, 48.397551329754265], [3.020789844316467, 48.395025462741096], [3.032058670039471, 48.39942611457328], [3.043617493296457, 48.39742995807393], [3.064192758596326, 48.40360338297056], [3.075809051608698, 48.39727800990323]]]}";77279;6.0;0.0;13.0;16.0;12.0;17.0;18.0;18.0;18.03;18.295566
48.386735101, 2.81951703215;"{""type"": ""Polygon"", ""coordinates"": [[[2.838821231571725, 48.385746255630835], [2.834277111098903, 48.38222326287266], [2.830416767689182, 48.385027880640735], [2.823389941626644, 48.38295407610264], [2.814691370528023, 48.37962795794947], [2.801929293553021, 48.387774483560854], [2.811456105588515, 48.39152975900534], [2.824117255608715, 48.392519046319634], [2.838821231571725, 48.385746255630835]]]}";77419;21.0;26.0;71.0;84.0;120.0;99.0;92.8;90.0;90.43;91.221169
48.3680543216, 2.07544817612;"{""type"": ""Polygon"", ""coordinates"": [[[2.094756938737132, 48.38413071545982], [2.116602894246767, 48.361847303620316], [2.103922327838131, 48.36395307242139], [2.093391963931749, 48.35932678166078], [2.094740421100352, 48.353898292065495], [2.072536629565938, 48.34031502389434], [2.061945771371787, 48.34325721937046], [2.055243131199876, 48.35988559121391], [2.044119773495814, 48.360693614935116], [2.047274055884968, 48.37298536077535], [2.053090584756707, 48.37310802206344], [2.054726600842615, 48.37741048962625], [2.048928539366157, 48.37869077750569], [2.050739463487513, 48.38543969103816], [2.071396543623561, 48.392827897368086], [2.094756938737132, 48.38413071545982]]]}";91294;21.0;11.0;21.0;14.0;21.0;13.0;17.0;17.049561;17.15;23.131195
