Geometry X Y;Geometry;AREA;PERIMETER;INSEE;ACT15_19;ACT20_24;ACT25_29;ACT30_34;ACT35_39;ACT40_44;ACT45_49;ACT50_54;ACT55_59;ACT60_64;ACT65PL
48.9238015249, 2.86990393945;"{""type"": ""Polygon"", ""coordinates"": [[[2.87954792484242, 48.943045582367134], [2.884892401824295, 48.922614982865355], [2.880608848836478, 48.91652020847991], [2.894059658741204, 48.912597418146554], [2.906643522853001, 48.914154124995655], [2.906197955368951, 48.90980372594803], [2.896461173736545, 48.91019354387944], [2.866804556964322, 48.915649787864275], [2.850514890556002, 48.90661429109056], [2.847113009117002, 48.907456887560116], [2.851394233679868, 48.92433548037841], [2.872281656486274, 48.94400611931561], [2.87954792484242, 48.943045582367134]]]}";7029917.10898;15467.7493114;77276;33.78;98.37;116.69;107.01;149.47;174.53;174.64;130.15;80.98;19.28;0.0
48.9240752659, 1.76709753478;"{""type"": ""Polygon"", ""coordinates"": [[[1.783385617082826, 48.925655589795646], [1.784822725116163, 48.9252848347697], [1.761266992903769, 48.908837332312594], [1.749028069841573, 48.911248099384665], [1.753630495633525, 48.9236370709342], [1.767490511719864, 48.930047026417036], [1.763055629434492, 48.93704838010128], [1.768715723925146, 48.94224762621341], [1.778162493686927, 48.93743797048082], [1.783385617082826, 48.925655589795646]]]}";4733454.94228;10018.3121182;78281;7.13;23.42;29.53;33.6;54.99;57.03;41.75;52.95;26.48;5.09;1.02
48.9199195696, 2.98459807982;"{""type"": ""Polygon"", ""coordinates"": [[[2.997010620596616, 48.929585861381256], [3.014953978506103, 48.91424649331199], [2.99999362598915, 48.89949561427302], [2.985271943124929, 48.90757495253279], [2.975700018390612, 48.90479602403909], [2.966064293299542, 48.907664304427236], [2.965161719667204, 48.91396442348876], [2.960892614604314, 48.92386219810142], [2.966424523373802, 48.9274740742478], [2.964591924291081, 48.933653398513364], [2.957593956727529, 48.93290919297008], [2.957259732756851, 48.937839207617664], [2.966114893641115, 48.93750306148278], [2.969260834000729, 48.94120884799843], [2.970986930911026, 48.941675925750395], [2.997010620596616, 48.929585861381256]]]}";10807050.873;14851.2476183;77505;10.0;7.0;20.0;33.0;27.0;29.0;30.0;23.0;19.0;10.0;0.0
48.9319872849, 1.64244248235;"{""type"": ""Polygon"", ""coordinates"": [[[1.656458445368221, 48.93994389097749], [1.665086416144703, 48.94093919683308], [1.659726857581507, 48.93252601460034], [1.655618445303, 48.923571456265336], [1.645483412677098, 48.921271302266405], [1.618114925895719, 48.933081284375085], [1.629192957837955, 48.94112731223024], [1.650905176587669, 48.935782867682605], [1.656458445368221, 48.93994389097749]]]}";4253374.24815;9401.37891599;78234;0.0;6.81;3.89;12.65;9.73;10.7;12.65;3.89;4.86;0.97;1.95
48.926051386, 2.21154299498;"{""type"": ""Polygon"", ""coordinates"": [[[2.231149079081865, 48.92778320414778], [2.220534574913126, 48.920479783629425], [2.200725533185626, 48.908839291077264], [2.199210283686519, 48.91901729223242], [2.205178903167204, 48.92205487573905], [2.199206200610236, 48.93525822627208], [2.206207707825888, 48.94077000064167], [2.231149079081865, 48.92778320414778]]]}";4113666.91289;9419.93160723;95063;336.52;1344.34;1749.07;2078.01;2125.35;1831.11;1788.59;1495.09;1162.64;255.03;65.35
48.9232267868, 2.4450452378;"{""type"": ""Polygon"", ""coordinates"": [[[2.474408130360439, 48.91844142854003], [2.475453091843478, 48.91638980713229], [2.455872373918295, 48.91041366234031], [2.413579224318423, 48.919334736381316], [2.422740292120118, 48.93011957512851], [2.444105512153149, 48.932655499657926], [2.442532065697518, 48.93728825377495], [2.455391633937034, 48.937671341049246], [2.463919499376119, 48.93089061023014], [2.461997234991476, 48.92091971004408], [2.474408130360439, 48.91844142854003]]]}";7639775.29227;12560.0713859;93029;629.42;3048.18;4315.04;3773.86;3977.88;4104.78;4290.28;3844.74;2954.2;675.25;262.26
48.9126400786, 2.92837225956;"{""type"": ""Polygon"", ""coordinates"": [[[2.939408776127464, 48.92695411522493], [2.943033971869516, 48.91759117608767], [2.965161719667204, 48.91396442348876], [2.966064293299542, 48.907664304427236], [2.942590953661632, 48.90923897815858], [2.944930961362149, 48.90312926353961], [2.934871985669669, 48.90155459284358], [2.905037831548883, 48.89783979509561], [2.896461173736545, 48.91019354387944], [2.906197955368951, 48.90980372594803], [2.906643522853001, 48.914154124995655], [2.918454271470417, 48.9137079544556], [2.913341752405382, 48.91758286028029], [2.914621700685739, 48.92673129592384], [2.924164553178394, 48.93045076891002], [2.939408776127464, 48.92695411522493]]]}";9232066.21251;16028.9119966;77049;13.18;33.47;23.33;44.62;66.94;76.06;66.94;58.82;49.69;7.1;3.04
48.9145790508, 2.75722605198;"{""type"": ""Polygon"", ""coordinates"": [[[2.775584612392717, 48.910379907569414], [2.760702089441204, 48.904239986109424], [2.727311409766948, 48.90296513469281], [2.736469026514473, 48.92386893661826], [2.751666218002747, 48.92322122892694], [2.763038083076991, 48.92052645921614], [2.771052158868517, 48.92409344628291], [2.777354057180827, 48.92067898803411], [2.786648163115629, 48.92834071977958], [2.790327674202242, 48.92923446119331], [2.793270857095604, 48.92276581546491], [2.775584612392717, 48.910379907569414]]]}";7639390.6455;13486.8398235;77234;6.01;21.03;28.04;39.06;81.13;61.1;56.09;29.05;15.02;5.01;2.0
48.9077429231, 1.83939666491;"{""type"": ""Polygon"", ""coordinates"": [[[1.854048447008669, 48.92602989621393], [1.871347260817806, 48.92378148824811], [1.878447176652349, 48.91896300060569], [1.877224570288569, 48.90952450943813], [1.868662218896102, 48.90750230637579], [1.86952466540675, 48.90428636866758], [1.857577190585515, 48.89837347901653], [1.858523217951849, 48.89078740702225], [1.835560111399341, 48.88508633416856], [1.805646664107746, 48.89868339108238], [1.804629782154905, 48.91211415833997], [1.809049670777893, 48.92116359961501], [1.816991946018595, 48.922450025568054], [1.82909396912996, 48.92669515014599], [1.829891395184079, 48.92211228339267], [1.840627911176626, 48.921071258411224], [1.854048447008669, 48.92602989621393]]]}";17133951.5719;17119.2477752;78380;52.57;220.08;210.95;248.45;378.46;395.59;422.59;398.09;298.55;64.5;33.23
48.9063785895, 3.20211070072;"{""type"": ""Polygon"", ""coordinates"": [[[3.20953430785429, 48.9200755885173], [3.205763794518025, 48.915158016], [3.219469846750152, 48.9132182017721], [3.208180245768641, 48.90745028311423], [3.212691878183001, 48.901021472178066], [3.205486882741505, 48.90087869647327], [3.208683989657077, 48.890287058120634], [3.204142111135039, 48.888702864288234], [3.203505834968821, 48.89444549426836], [3.193217672194439, 48.894208376453655], [3.187256678685514, 48.90054829641057], [3.195088145519974, 48.90616449763307], [3.19939719958254, 48.924127696424016], [3.20953430785429, 48.9200755885173]]]}";3685911.12966;11544.9119075;77429;8.07;21.19;21.19;24.22;33.3;49.44;43.39;32.29;36.32;5.04;4.04
