insee;Pop1946;PSDC1962;PSDC1968;PSDC1975;PSDC1982;PSDC1990;TCAM7590;TCAM8290;POPEXH1999;PSDC82DF99;PSDC90DF99;TCAM8299;TCAM9099;POPMUN2006;TCAM9006;TCAM9906;POPMUN2007;TCAM9907;POPMUN2008;TCAM9908;POPMUN2009;TCAM9909;POPMUN2010;TCAM9010;TCAM9910;POPMUN2011;TCAM9911;TCAM0611;AREA;PERIMETER;Geo Shape;Geo Point
94015;5100;9046.0;11672.0;12270.0;12168.0;13826.0;0.8;1.61;15021.0;12168.0;13826.0;1.25;0.93;14985.0;0.5;-0.03;15182.69;0.1339;15316;0.2163;15309;0.190097;15625;0.61;0.36;15987.0;0.52074;1.302939;3172042.7380354307;7660.96381683578;"{""type"": ""Polygon"", ""coordinates"": [[[2.525040142393285, 48.82725335459993], [2.504679851760672, 48.82972494684114], [2.514734807466692, 48.83098929530885], [2.516994873460105, 48.83406525167816], [2.511701114233563, 48.8436398477218], [2.513670428920088, 48.8501681266457], [2.515648757769381, 48.85138127056583], [2.537155233528009, 48.84196032721488], [2.53665448757524, 48.83851387979085], [2.532257759855077, 48.83048351954941], [2.525040142393285, 48.82725335459993]]]}";48.8384095661, 2.52319657626
78655;498;560.0;595.0;674.0;746.0;735.0;0.58;-0.19;742.0;746.0;735.0;-0.03;0.11;763.0;0.23;0.4;782.25;0.6625;801;0.8538;820;1.004563;811;0.49;0.81;803.0;0.660551;1.027173;9720201.276870811;16488.58211322651;"{""type"": ""Polygon"", ""coordinates"": [[[1.902771575194082, 48.65087219232345], [1.888039299104607, 48.6541450003017], [1.872168336355665, 48.662910570754136], [1.856740167275636, 48.6617380805818], [1.842307466882663, 48.66531398820361], [1.848264382092619, 48.678487298529475], [1.855452063749069, 48.68150705030618], [1.86480884518517, 48.681020785094404], [1.870337985744075, 48.686038806819404], [1.890227082758968, 48.68349994076563], [1.89419237746002, 48.67714999242701], [1.892248269856285, 48.66376455429819], [1.898528651760513, 48.65829944926937], [1.909021994452395, 48.6577842633037], [1.909677692704536, 48.65238388353105], [1.902771575194082, 48.65087219232345]]]}";48.669743712, 1.87479828191
77275;170;117.0;106.0;72.0;72.0;107.0;2.67;5.08;135.0;72.0;107.0;3.77;2.62;152.0;2.22;1.71;151.96;1.4903;152;1.3266;153;1.259497;153;1.8;1.14;154.0;1.103358;0.261784;5973856.104019631;10839.59921576465;"{""type"": ""Polygon"", ""coordinates"": [[[3.312402948465438, 48.654533346411114], [3.301420311084736, 48.68291306734555], [3.312696472411579, 48.68774112932952], [3.321465177190815, 48.68657549948302], [3.331137691591195, 48.67589035654931], [3.323740551104084, 48.65694968871349], [3.312402948465438, 48.654533346411114]]]}";48.6725110307, 3.31659971579
94046;36485;51186.0;53149.0;54146.0;51065.0;53375.0;-0.1;0.55;51091.0;51065.0;53375.0;0.0;-0.48;53233.0;-0.02;0.59;53085.44;0.4798;52852;0.3772;52619;0.295124;52943;-0.04;0.32;53265.0;0.347863;0.01202;5787135.755152989;11561.18086995538;"{""type"": ""Polygon"", ""coordinates"": [[[2.432746023437764, 48.7867296701856], [2.424257548922915, 48.80726717540175], [2.415904474059908, 48.81633738861282], [2.419588735738925, 48.81691294395159], [2.450787280216401, 48.81582817592106], [2.454651973942729, 48.813507487938416], [2.460632172138561, 48.809370495117264], [2.464016168795708, 48.807362108940865], [2.449732444819682, 48.80351080776514], [2.432746023437764, 48.7867296701856]]]}";48.8063923267, 2.43818248906
91340;531;586.0;681.0;738.0;4343.0;6860.0;15.98;5.88;7205.0;4343.0;6860.0;3.02;0.55;6911.0;0.05;-0.59;6870.49;-0.5925;6830;-0.5921;7179;-0.036145;7173;0.22;-0.04;7316.0;0.127485;1.145499;10319606.6704;14922.14633831807;"{""type"": ""Polygon"", ""coordinates"": [[[2.422234048097917, 48.57322297902054], [2.411662495121443, 48.58755512107966], [2.403162250744953, 48.59100306480598], [2.393595164240439, 48.58928153962968], [2.405649370723896, 48.5952883718213], [2.39857007664951, 48.607126803299714], [2.400059408721653, 48.6097339849166], [2.412578905108272, 48.613448520253776], [2.431928937456322, 48.61173433839789], [2.436981317437266, 48.61117363711148], [2.453480296121282, 48.60433307935369], [2.450467092051463, 48.59548571501215], [2.433797739357841, 48.58945258721912], [2.439394862715154, 48.5770652315425], [2.422234048097917, 48.57322297902054]]]}";48.5966688856, 2.42469094606
95213;351;293.0;324.0;385.0;452.0;529.0;2.14;1.99;636.0;452.0;529.0;2.03;2.07;621.0;1.01;-0.34;622.97;-0.2584;630;-0.1053;638;0.031402;645;1.0;0.13;649.0;0.16876;0.885934;10771396.8444;14815.18840983129;"{""type"": ""Polygon"", ""coordinates"": [[[2.072617609687766, 49.100809990063894], [2.067608034223793, 49.10143664229137], [2.059806688273112, 49.10950443546509], [2.050165869491818, 49.109428683994736], [2.047771655497061, 49.119723207308205], [2.061595575933245, 49.13022609065504], [2.06738791145883, 49.14336268427386], [2.085309258689991, 49.14908384673171], [2.090308767557175, 49.14381684521509], [2.086897007345477, 49.141435268671195], [2.093402587801008, 49.126010170295864], [2.091845442234113, 49.116359473128725], [2.072617609687766, 49.100809990063894]]]}";49.1238363223, 2.07311253247
77265;576;569.0;545.0;554.0;609.0;778.0;2.28;3.11;814.0;609.0;778.0;1.72;0.5;942.0;1.2;2.11;980.76;2.3569;997;2.2788;1030;2.381451;1052;1.52;2.36;1073.0;2.328815;2.638374;6867757.256727688;11798.23147820403;"{""type"": ""Polygon"", ""coordinates"": [[[3.184298169480914, 48.95536761417278], [3.174377969610406, 48.96961735335099], [3.160493374858214, 48.96717284530501], [3.167041623698613, 48.986083569155426], [3.174134066785972, 48.99058753873872], [3.185655919289572, 48.99527313429238], [3.194953745543182, 48.989440493352916], [3.197171945322345, 48.9798691928063], [3.185432215086914, 48.95556369892648], [3.184298169480914, 48.95536761417278]]]}";48.9776259019, 3.18079774595
78281;164;232.0;232.0;256.0;362.0;466.0;4.06;3.21;557.0;362.0;466.0;2.57;2.0;590.0;1.48;0.83;595.01;0.8286;600;0.8297;611;0.929611;617;1.41;0.93;615.0;0.828892;0.833449;4733454.942282796;10018.31211819076;"{""type"": ""Polygon"", ""coordinates"": [[[1.761479140954992, 48.908883099684545], [1.756990862240174, 48.90771236951119], [1.748978834096256, 48.91124450567851], [1.749242614349485, 48.91219161834289], [1.753093554310521, 48.92174724413588], [1.767330229077596, 48.93087030769494], [1.763394545828162, 48.93680156082047], [1.768613949149045, 48.94237738446795], [1.776280172279581, 48.9380220518177], [1.783341566714194, 48.92561973787776], [1.78481043591284, 48.925256907877085], [1.761479140954992, 48.908883099684545]]]}";48.9235015144, 1.76677229339
77379;9386;10325.0;11432.0;12341.0;12065.0;11608.0;-0.41;-0.48;11684.0;12065.0;11608.0;-0.19;0.07;11871.0;0.14;0.23;12267.43;0.611;12264;0.5398;12349;0.555082;12301;0.29;0.47;12206.0;0.364891;0.558135;14822958.3725;18661.64402123558;"{""type"": ""Polygon"", ""coordinates"": [[[3.308495470763704, 48.54444148632003], [3.293538409190417, 48.54196955468887], [3.285034329021657, 48.55009531970874], [3.270130602212393, 48.552810793006756], [3.250134021146162, 48.56198501063898], [3.247389369260004, 48.569097187138986], [3.273686979322974, 48.57996905376299], [3.291726498460338, 48.576669858925534], [3.306060898639618, 48.58458579058641], [3.311020661448605, 48.584159145204126], [3.311183822063988, 48.56369405940664], [3.320557959784705, 48.556328792437206], [3.315139083073773, 48.54981246119961], [3.317795799002282, 48.54775438596059], [3.308495470763704, 48.54444148632003]]]}";48.5633093312, 3.28756780085
92071;8448;19024.0;19913.0;19709.0;18317.0;18052.0;-0.58;-0.18;19398.0;18317.0;18052.0;0.34;0.8;19413.0;0.46;0.01;19678.66;0.1797;19625;0.1294;19334;-0.033042;19638;0.42;0.11;19930.0;0.225722;0.527048;3549547.6064732447;8326.40543475429;"{""type"": ""Polygon"", ""coordinates"": [[[2.290253488380403, 48.76660373390475], [2.278826695128923, 48.776294065232136], [2.279571324559527, 48.782486567608], [2.281984557146941, 48.78316666251781], [2.303309205956868, 48.78539753254061], [2.309699191735665, 48.784903965220956], [2.307705347974042, 48.7792530976763], [2.312439452218962, 48.772166026509616], [2.290253488380403, 48.76660373390475]]]}";48.776816369, 2.29529414514
77037;2411;2791.0;2782.0;3044.0;3395.0;4744.0;2.99;4.27;5290.0;3395.0;4744.0;2.64;1.22;5433.0;0.85;0.38;5452.0;0.3778;5493;0.4193;5611;0.590846;5650;0.88;0.6;5649.0;0.548669;0.782789;7189486.234275804;15413.76867389276;"{""type"": ""Polygon"", ""coordinates"": [[[2.747372173386774, 48.48329347282559], [2.731880283023199, 48.4828546883421], [2.71822298915449, 48.47848694822648], [2.711569605015962, 48.465489497240945], [2.698910977310097, 48.4602402507629], [2.671516292524915, 48.4804000762589], [2.673571653483779, 48.4871528240124], [2.674660171371646, 48.48838827321005], [2.682484146380139, 48.48363252144334], [2.697978002163187, 48.481351934169275], [2.74486390591163, 48.487075456106304], [2.748818116917198, 48.4865351241281], [2.747372173386774, 48.48329347282559]]]}";48.476036197, 2.70159529081
78420;1716;1887.0;2074.0;2319.0;2566.0;2651.0;0.89;0.41;3135.0;2566.0;2651.0;1.19;1.88;3076.0;0.93;-0.27;3088.37;-0.1871;3102;-0.1175;3115;-0.06398;3138;0.85;0.01;3127.0;-0.02129;0.329422;5800458.506646039;9646.34840137438;"{""type"": ""Polygon"", ""coordinates"": [[[1.819817223111741, 48.76465376604403], [1.794564999633352, 48.759886074061775], [1.781968312167999, 48.76622568385487], [1.798713162500428, 48.77768390397657], [1.817278804065744, 48.78300519312627], [1.827275462258843, 48.780917995863675], [1.834318252816465, 48.775769926174], [1.825292300117957, 48.76804485841118], [1.819817223111741, 48.76465376604403]]]}";48.771347152, 1.80894544858
77380;277;194.0;174.0;188.0;213.0;227.0;1.26;0.8;283.0;213.0;227.0;1.69;2.48;287.0;1.48;0.2;284.89;0.0832;294;0.4246;304;0.718376;313;1.62;0.92;315.0;0.896711;1.879248;9666250.927998919;15659.2712892312;"{""type"": ""Polygon"", ""coordinates"": [[[2.90309818082485, 49.04013917259568], [2.898317907396301, 49.04370491243264], [2.907336972120532, 49.056075653801464], [2.894433584593402, 49.07049633811572], [2.894953992322477, 49.077069500732534], [2.90150788052069, 49.08537404257294], [2.924146089661544, 49.078305300678444], [2.933861782254554, 49.0799924196162], [2.937888308971842, 49.077998490127314], [2.935455142133666, 49.075488618766336], [2.940961742041343, 49.071373393839224], [2.933423018593871, 49.059257957921176], [2.921775384928171, 49.05295686085468], [2.915921174381922, 49.043889365506395], [2.90309818082485, 49.04013917259568]]]}";49.0654141426, 2.91537283877
95127;1138;1834.0;2203.0;8896.0;19357.0;48141.0;11.88;12.06;54816.0;19357.0;48226.0;6.31;1.45;56873.0;1.05;0.53;57599.58;0.6211;56108;0.2592;57247;0.434874;56988;0.84;0.35;58341.0;0.520709;0.510989;14551557.3615;17652.85110967387;"{""type"": ""Polygon"", ""coordinates"": [[[2.083165986845829, 49.019269519447526], [2.07263366399205, 49.018756983375035], [2.038230126645515, 49.03372851576785], [2.038296568189799, 49.036786458262945], [2.015834726631684, 49.03987771410519], [2.001838752465141, 49.05285505539343], [2.010600886784759, 49.05612878201693], [2.024370972134714, 49.05437101025048], [2.027765173671173, 49.056502706967706], [2.054070647325505, 49.05456356838814], [2.072221766486022, 49.04716964872211], [2.085450417543997, 49.03783821805331], [2.084204716663622, 49.03169595942076], [2.090658278412783, 49.02396659779458], [2.083165986845829, 49.019269519447526]]]}";49.0401131567, 2.05082123731
91363;1720;2187.0;2635.0;3980.0;4465.0;5680.0;2.39;3.05;7210.0;4465.0;5680.0;2.86;2.69;7647.0;1.88;0.84;7735.99;0.8841;7729;0.7753;7831;0.829635;7909;1.67;0.84;7987.0;0.856533;0.873832;17109669.369;19218.35317442499;"{""type"": ""Polygon"", ""coordinates"": [[[2.202972626420991, 48.6283859701903], [2.202022129426071, 48.62842458361314], [2.187472243644421, 48.637339639321915], [2.181789640372368, 48.63185851844061], [2.170938273949707, 48.63922270764314], [2.165598362647238, 48.648945403830275], [2.177108090322008, 48.65599679137556], [2.191269659016977, 48.66826423744233], [2.195456459137759, 48.6688862473288], [2.208440230988943, 48.66614869176663], [2.221783840675733, 48.66103735068987], [2.226566634862893, 48.651641506652176], [2.238271067061535, 48.64498844622392], [2.248510890675266, 48.64560217799172], [2.252930406488292, 48.6393512629612], [2.24345198980755, 48.633093664318096], [2.225495992754841, 48.62858852194577], [2.206233274270399, 48.630818518183816], [2.202972626420991, 48.6283859701903]]]}";48.6463321888, 2.20621393661
77532;129;136.0;130.0;100.0;90.0;51.0;-4.38;-6.85;67.0;90.0;51.0;-1.72;3.08;62.0;1.23;-1.1;61.0;-1.1659;61;-1.037;63;-0.613688;65;1.22;-0.28;67.0;0.0;1.563258;10517776.5624;14258.03700757508;"{""type"": ""Polygon"", ""coordinates"": [[[3.196861813651088, 48.54804304186627], [3.196070145104167, 48.56097096032818], [3.191239263406734, 48.56665497548531], [3.20412953160281, 48.57036667066224], [3.20642907544114, 48.57949304262257], [3.21592500252496, 48.580987414165], [3.221547051676379, 48.57999658515909], [3.234721812347265, 48.57639116213655], [3.238179100282057, 48.57053726337863], [3.247389369260004, 48.569097187138986], [3.250134021146162, 48.56198501063898], [3.24322527964111, 48.55969648286382], [3.235800938662562, 48.55110268096053], [3.196861813651088, 48.54804304186627]]]}";48.5636143707, 3.21951808619
78597;217;251.0;247.0;315.0;321.0;563.0;3.94;7.28;610.0;321.0;563.0;3.85;0.89;594.0;0.34;-0.38;594.69;-0.3172;595;-0.2763;596;-0.231914;597;0.29;-0.2;608.0;-0.027364;0.466998;5368950.37552857;11236.90820769638;"{""type"": ""Polygon"", ""coordinates"": [[[1.656616023157105, 48.939780393037985], [1.659033617153246, 48.94556349718777], [1.653432699877228, 48.95094193480994], [1.648473672413872, 48.951021035671516], [1.649356295700901, 48.954367658091506], [1.661278587244102, 48.96019437331713], [1.665907147554125, 48.96983313708424], [1.67492560579841, 48.96169500812128], [1.699335970963946, 48.95775328396804], [1.694827621004398, 48.952371071494134], [1.665150680486089, 48.940775130832996], [1.656616023157105, 48.939780393037985]]]}";48.9535424225, 1.67168350661
77125;376;399.0;487.0;645.0;1029.0;1365.0;5.11;3.6;1346.0;1029.0;1365.0;1.59;-0.16;1401.0;0.16;0.57;1409.51;0.578;1418;0.5807;1410;0.465605;1409;0.16;0.42;1416.0;0.423383;0.213222;2103191.0742214355;7747.19443331689;"{""type"": ""Polygon"", ""coordinates"": [[[2.840347290346074, 48.88910885978855], [2.824450943375355, 48.89575937098465], [2.821374531869442, 48.8979760690802], [2.823919381205963, 48.90371728883488], [2.828525204533929, 48.90520778960659], [2.836505202019572, 48.900974323112415], [2.846989260812841, 48.90748100384574], [2.850320635136658, 48.90654996030416], [2.847522602720687, 48.897724441476754], [2.840347290346074, 48.88910885978855]]]}";48.8985882759, 2.83639912671
