inseecode;Libelle;evol. annuelle moy. de la population 2009-2014;Population 2014;Part des pers. agees de - de 25 ans 2014;Part des pers. agees de 25 a 64 ans 2014;Part des pers. agees de 65 ans ou + 2014
92002;Antony;0.1;61603;31.1;52;17
92004;Asnieres-sur-Seine;1.2;86799;31.9;56.1;11.9
92007;Bagneux;0.2;38817;33.3;52.8;13.9
92009;Bois-Colombes;0.3;28514;31.9;54.2;13.9
92012;Boulogne-Billancourt;0.7;116927;28.4;55.7;15.9
92014;Bourg-la-Reine;0.1;19881;30.3;51.3;18.4
92019;Châtenay-Malabry;0.4;33067;34.7;51.7;13.6
92020;Châtillon;2.7;37089;31;56.7;12.3
92022;Chaville;1.1;19619;31.1;53.1;15.7
92023;Clamart;0;52457;31.2;52.1;16.6
92024;Clichy;0.5;59783;31.1;58.1;10.7
92025;Colombes;0;84392;33.7;53.7;12.7
92026;Courbevoie;-0.5;84658;30.7;56.4;12.9
92032;Fontenay-aux-Roses;-0.6;22946;32.3;51.3;16.4
92033;Garches;-0.7;17662;32.1;50.1;17.8
92035;La Garenne-Colombes;1.4;29072;30.6;57;12.4
92036;Gennevilliers;0.9;43376;34.6;51.8;13.6
92040;Issy-les-Moulineaux;1;67360;29.8;57.7;12.5
92044;Levallois-Perret;0.6;65374;29.9;56.5;13.7
92046;Malakoff;-0.4;30428;30.3;56.1;13.6
92047;Marnes-la-Coquette;0.6;1712;35.9;46.1;17.9
92048;Meudon;0.4;45507;30.8;52;17.2
92049;Montrouge;0.2;48954;28.5;57.6;13.9
92050;Nanterre;0.8;93509;35.9;53.9;10.2
92051;Neuilly-sur-Seine;0.5;62075;28.9;49.5;21.6
92060;Le Plessis-Robinson;1.7;28911;31.5;55.3;13.2
92062;Puteaux;-0.2;44506;29.4;58.3;12.2
92063;Rueil-Malmaison;0;79204;32.2;52.8;14.9
92064;Saint-Cloud;-0.2;29360;31.1;50.6;18.3
92071;Sceaux;0.2;19520;32.3;47.2;20.5
92072;Sèvres;0.3;23206;31.7;51.4;16.9
92073;Suresnes;1.1;48526;31.7;56.3;12
92075;Vanves;0.9;27783;29.7;54.2;16
92076;Vaucresson;0.3;8747;31.5;48.9;19.5
92077;Ville-d'Avray;1.3;11419;33.2;49.2;17.5
92078;Villeneuve-la-Garenne;0.1;25007;37.8;50.7;11.4
