City;Unemployment rate
Aubervilliers (93001);23,8
Aulnay-sous-Bois (93005);19,7
Bagnolet (93006);18,5
Blanc-Mesnil (93007);21,7
Bobigny (93008);23,5
Bondy (93010);21,5
Bourget (93013);18,1
Clichy-sous-Bois (93014);25,0
Coubron (93015);8,9
Courneuve (93027);27,0
Drancy (93029);19,9
Dugny (93030);19,3
Épinay-sur-Seine (93031);17,6
Gagny (93032);13,3
Gournay-sur-Marne (93033);8,1
Île-Saint-Denis (93039);22,8
Lilas (93045);14,1
Livry-Gargan (93046);12,7
Montfermeil (93047);16,7
Montreuil (93048);17,9
Neuilly-Plaisance (93049);11,2
Neuilly-sur-Marne (93050);14,4
Noisy-le-Grand (93051);13,9
Noisy-le-Sec (93053);21,4
Pantin (93055);19,1
Pavillons-sous-Bois (93057);12,2
Pierrefitte-sur-Seine (93059);22,3
Pré-Saint-Gervais (93061);17,4
Raincy (93062);11,2
Romainville (93063);19,5
Rosny-sous-Bois (93064);14,3
Saint-Denis (93066);23,8
Saint-Ouen (93070);19,0
Sevran (93071);19,6
Stains (93072);22,2
Tremblay-en-France (93073);14,9
Vaujours (93074);10,8
Villemomble (93077);11,9
Villepinte (93078);19,6
Villetaneuse (93079);25,5
