inseecode,dette
78160.0,4519000.0
78162.0,0.0
78163.0,3000.0
78164.0,508000.0
78165.0,15736000.0
78168.0,7310000.0
78171.0,133000.0
78172.0,46117000.0
78185.0,72000.0
78188.0,229000.0
78189.0,191000.0
78190.0,4873000.0
78192.0,563000.0
78193.0,527000.0
78194.0,98000.0
78196.0,0.0
78202.0,44000.0
78206.0,5031000.0
78208.0,3243000.0
78209.0,174000.0
78217.0,1910000.0
78220.0,2680000.0
78224.0,1835000.0
78227.0,176000.0
78230.0,12000.0
78231.0,47000.0
78233.0,1412000.0
78234.0,5000.0
78236.0,194000.0
78237.0,39000.0
78238.0,898000.0
78239.0,1068000.0
78242.0,13836000.0
78245.0,267000.0
78246.0,314000.0
78251.0,1957000.0
78255.0,66000.0
78261.0,398000.0
78262.0,208000.0
78263.0,221000.0
78264.0,0.0
78265.0,833000.0
78267.0,1854000.0
78269.0,587000.0
78276.0,230000.0
78278.0,81000.0
78281.0,270000.0
78283.0,18000.0
78285.0,25000.0
78289.0,132000.0
78290.0,102000.0
78291.0,713000.0
78296.0,157000.0
78297.0,1135000.0
78299.0,1943000.0
78300.0,150000.0
78302.0,45000.0
78305.0,83000.0
78307.0,175000.0
78310.0,2585000.0
78311.0,13432000.0
78314.0,3083000.0
78317.0,103000.0
78320.0,311000.0
78321.0,1948000.0
78322.0,5034000.0
78324.0,284000.0
78325.0,98000.0
78327.0,1175000.0
78329.0,269000.0
78334.0,342000.0
78335.0,8372000.0
78337.0,294000.0
78343.0,649000.0
78349.0,0.0
78354.0,84000.0
78356.0,2424000.0
78358.0,7048000.0
78362.0,9039000.0
78364.0,207000.0
78366.0,69000.0
78368.0,188000.0
78372.0,13226000.0
78380.0,4514000.0
78381.0,101000.0
78382.0,1642000.0
78383.0,15061000.0
78384.0,296000.0
78385.0,32000.0
78389.0,727000.0
78391.0,2000.0
78396.0,1016000.0
78398.0,81000.0
78401.0,3939000.0
78402.0,2030000.0
78403.0,583000.0
78404.0,0.0
78406.0,20000.0
78407.0,0.0
78410.0,4000.0
78413.0,93000.0
78415.0,515000.0
78416.0,0.0
78417.0,69000.0
78418.0,9706000.0
78420.0,738000.0
78423.0,9351000.0
78431.0,768000.0
78437.0,13000.0
78439.0,0.0
78440.0,22852000.0
78442.0,1198000.0
78444.0,278000.0
78451.0,384000.0
78455.0,3733000.0
78460.0,154000.0
78465.0,678000.0
78466.0,2722000.0
78470.0,380000.0
78472.0,0.0
78474.0,40000.0
78475.0,68000.0
78478.0,2000.0
78481.0,139000.0
78484.0,223000.0
78486.0,4529000.0
78490.0,51130000.0
78497.0,1074000.0
78498.0,39222000.0
78499.0,251000.0
78501.0,1212000.0
78502.0,28000.0
78503.0,33000.0
78506.0,366000.0
78513.0,456000.0
78516.0,69000.0
78517.0,20705000.0
78518.0,19000.0
78520.0,410000.0
78522.0,5000.0
78524.0,563000.0
78528.0,203000.0
78530.0,21000.0
78531.0,1770000.0
78536.0,67000.0
78537.0,3266000.0
78545.0,8777000.0
78548.0,92000.0
78550.0,136000.0
78551.0,33567000.0
78558.0,0.0
78559.0,80000.0
78561.0,106000.0
78564.0,167000.0
78565.0,60000.0
78567.0,205000.0
78569.0,153000.0
78571.0,1763000.0
78575.0,5695000.0
78576.0,433000.0
78586.0,34547000.0
78588.0,193000.0
78590.0,404000.0
78591.0,968000.0
78597.0,66000.0
78601.0,671000.0
78605.0,416000.0
78606.0,0.0
78608.0,119000.0
78609.0,196000.0
78615.0,109000.0
78616.0,2130000.0
78618.0,85000.0
78620.0,54000.0
78621.0,45399000.0
78623.0,227000.0
78624.0,7804000.0
78638.0,1016000.0
78640.0,5427000.0
78642.0,11778000.0
78643.0,4883000.0
78644.0,885000.0
78646.0,65908000.0
78647.0,388000.0
78650.0,7197000.0
78653.0,2000.0
78655.0,435000.0
78668.0,104000.0
78672.0,3855000.0
78674.0,9778000.0
78677.0,250000.0
78681.0,145000.0
78683.0,871000.0
78686.0,0.0
78688.0,1490000.0
77001.0,116000.0
77002.0,27000.0
77003.0,68000.0
77004.0,0.0
77005.0,2046000.0
77006.0,797000.0
77007.0,35000.0
77008.0,91000.0
77009.0,8000.0
77010.0,300000.0
77011.0,37000.0
77012.0,159000.0
77013.0,151000.0
77014.0,6049000.0
77015.0,0.0
77016.0,916000.0
77019.0,1000.0
77020.0,97000.0
77021.0,19000.0
77022.0,522000.0
77023.0,37000.0
77025.0,0.0
77026.0,70000.0
77028.0,73000.0
77029.0,28000.0
77030.0,75000.0
77031.0,197000.0
77032.0,155000.0
77034.0,437000.0
77036.0,0.0
77037.0,3210000.0
77038.0,10000.0
77040.0,1381000.0
77041.0,17000.0
77042.0,1306000.0
77043.0,65000.0
77044.0,668000.0
77047.0,429000.0
77048.0,958000.0
77050.0,133000.0
77051.0,2361000.0
77052.0,115000.0
77054.0,138000.0
77055.0,2617000.0
77057.0,2000.0
77058.0,31890000.0
77059.0,138000.0
77061.0,1276000.0
77062.0,62000.0
77065.0,403000.0
77066.0,26000.0
77067.0,1826000.0
77069.0,604000.0
77070.0,313000.0
77071.0,124000.0
77072.0,146000.0
77075.0,739000.0
77076.0,1000.0
77077.0,84000.0
77079.0,4213000.0
77080.0,0.0
77081.0,132000.0
77083.0,10379000.0
77084.0,265000.0
77086.0,1390000.0
77087.0,57000.0
77088.0,1104000.0
77089.0,126000.0
77090.0,0.0
77091.0,151000.0
77093.0,9000.0
77094.0,32000.0
77095.0,479000.0
77096.0,2376000.0
77097.0,0.0
77098.0,69000.0
77099.0,1796000.0
77100.0,1503000.0
77101.0,313000.0
77102.0,2000.0
77103.0,37000.0
77104.0,478000.0
77106.0,133000.0
77107.0,1192000.0
77108.0,51514000.0
77109.0,1055000.0
77110.0,123000.0
77111.0,1172000.0
77112.0,0.0
77113.0,504000.0
77114.0,1470000.0
77115.0,216000.0
77116.0,198000.0
77117.0,0.0
77119.0,39000.0
77120.0,34000.0
77121.0,4375000.0
77122.0,5687000.0
77124.0,582000.0
77126.0,693000.0
77127.0,330000.0
77128.0,764000.0
77129.0,129000.0
77131.0,16690000.0
77132.0,2591000.0
77134.0,17000.0
77135.0,586000.0
77136.0,1000.0
77138.0,131000.0
77139.0,2542000.0
77140.0,42000.0
77142.0,770000.0
77143.0,6524000.0
77144.0,77000.0
77145.0,292000.0
77147.0,23000.0
77148.0,244000.0
77149.0,166000.0
77150.0,44000.0
77152.0,14537000.0
77153.0,3992000.0
77155.0,1171000.0
77156.0,290000.0
77157.0,5000.0
77159.0,1321000.0
77161.0,38000.0
77162.0,264000.0
77164.0,58000.0
77166.0,1874000.0
77168.0,370000.0
77170.0,2000.0
77171.0,3183000.0
77173.0,144000.0
77174.0,110000.0
77175.0,1137000.0
77177.0,417000.0
77178.0,17000.0
77179.0,160000.0
77181.0,2782000.0
77182.0,2464000.0
77183.0,6522000.0
77185.0,22000.0
77186.0,5385000.0
77187.0,67000.0
77190.0,0.0
77191.0,235000.0
77192.0,807000.0
77193.0,18000.0
77194.0,39000.0
77195.0,81000.0
77196.0,1000.0
77197.0,0.0
77198.0,72000.0
77199.0,620000.0
77200.0,21000.0
77201.0,194000.0
77202.0,23000.0
77203.0,104000.0
77204.0,0.0
77205.0,4000.0
77206.0,86000.0
77207.0,31000.0
77208.0,74000.0
77209.0,565000.0
77210.0,174000.0
77211.0,223000.0
77212.0,0.0
77214.0,150000.0
77215.0,3605000.0
77216.0,818000.0
77217.0,372000.0
77218.0,2000.0
77219.0,1165000.0
77220.0,30000.0
77222.0,707000.0
77223.0,0.0
77226.0,999000.0
77227.0,104000.0
77228.0,12000.0
77230.0,10000.0
77231.0,90000.0
77232.0,89000.0
77233.0,0.0
77235.0,5000.0
77236.0,21000.0
77238.0,2609000.0
77239.0,663000.0
77241.0,363000.0
77242.0,27000.0
77243.0,25014000.0
77245.0,92000.0
77247.0,69000.0
77248.0,507000.0
77249.0,4351000.0
77251.0,1708000.0
77252.0,33000.0
77254.0,320000.0
77255.0,463000.0
77256.0,152000.0
77258.0,8483000.0
77259.0,1015000.0
77260.0,101000.0
77262.0,23000.0
77263.0,12000.0
77264.0,302000.0
77266.0,0.0
77267.0,0.0
77269.0,727000.0
77270.0,220000.0
77271.0,82000.0
77272.0,145000.0
77274.0,115000.0
77275.0,0.0
77276.0,1563000.0
77278.0,40000.0
77279.0,520000.0
77280.0,13000.0
77282.0,0.0
77283.0,120000.0
77284.0,55467000.0
77286.0,1000.0
77287.0,60000.0
77288.0,46563000.0
77290.0,106000.0
77291.0,269000.0
77292.0,278000.0
77293.0,385000.0
77294.0,25298000.0
77295.0,359000.0
77296.0,4268000.0
77297.0,111000.0
77298.0,0.0
77299.0,0.0
77300.0,280000.0
77301.0,1000.0
77302.0,1125000.0
77303.0,29000.0
77304.0,0.0
77305.0,22646000.0
77306.0,0.0
77307.0,8708000.0
77308.0,228000.0
77309.0,1838000.0
77310.0,20000.0
77311.0,263000.0
77312.0,564000.0
77313.0,38000.0
77314.0,13000.0
77316.0,4072000.0
77317.0,6197000.0
77319.0,25000.0
77320.0,974000.0
77321.0,136000.0
77323.0,779000.0
77325.0,0.0
77326.0,0.0
77328.0,16000.0
77329.0,39000.0
77331.0,121000.0
77332.0,60000.0
77333.0,7796000.0
77335.0,1516000.0
77337.0,9123000.0
77338.0,158000.0
77339.0,370000.0
77340.0,139000.0
77342.0,5000.0
77343.0,8000.0
77344.0,743000.0
77347.0,129000.0
77348.0,114000.0
77349.0,2795000.0
77352.0,350000.0
77353.0,92000.0
77354.0,37000.0
77356.0,0.0
77357.0,456000.0
77359.0,822000.0
77360.0,0.0
77361.0,31000.0
77364.0,17000.0
77365.0,166000.0
77367.0,0.0
77368.0,197000.0
77369.0,791000.0
77370.0,64000.0
77371.0,1605000.0
77373.0,29376000.0
77374.0,890000.0
77377.0,78000.0
77378.0,1054000.0
77379.0,10507000.0
77380.0,16000.0
77382.0,1836000.0
77383.0,152000.0
77385.0,1675000.0
77386.0,84000.0
77388.0,324000.0
77389.0,797000.0
77390.0,20448000.0
77392.0,523000.0
77393.0,1563000.0
77395.0,0.0
77396.0,0.0
77397.0,552000.0
77398.0,68000.0
77399.0,93000.0
77400.0,511000.0
77401.0,447000.0
77402.0,9000.0
77403.0,224000.0
77404.0,678000.0
77405.0,761000.0
77406.0,135000.0
77407.0,13847000.0
77408.0,85000.0
77409.0,2170000.0
77410.0,14000.0
77411.0,104000.0
77412.0,52000.0
77413.0,3453000.0
77414.0,0.0
77415.0,564000.0
77416.0,0.0
77417.0,0.0
77418.0,1000.0
77419.0,708000.0
77420.0,2803000.0
77421.0,22000.0
77423.0,101000.0
77424.0,2000.0
77426.0,476000.0
77427.0,103000.0
77428.0,161000.0
77429.0,50000.0
77430.0,3700000.0
77432.0,63000.0
77433.0,508000.0
77434.0,1000.0
77435.0,316000.0
77437.0,660000.0
77438.0,5527000.0
77439.0,625000.0
77441.0,1982000.0
77442.0,778000.0
77444.0,37000.0
77446.0,295000.0
77447.0,451000.0
77448.0,111000.0
77450.0,1262000.0
77451.0,88000.0
77453.0,489000.0
77455.0,408000.0
77456.0,92000.0
77457.0,583000.0
77458.0,5217000.0
77460.0,44000.0
77461.0,138000.0
77463.0,1492000.0
77464.0,6578000.0
77466.0,98000.0
77467.0,35000.0
77468.0,13950000.0
77469.0,128000.0
77471.0,135000.0
77473.0,9000.0
77474.0,151000.0
77476.0,27000.0
77477.0,166000.0
77479.0,8155000.0
77480.0,156000.0
77481.0,0.0
77483.0,302000.0
77484.0,2000.0
77485.0,462000.0
77487.0,10427000.0
77489.0,1000.0
77490.0,330000.0
77491.0,3917000.0
77492.0,214000.0
77493.0,1570000.0
77494.0,702000.0
77495.0,2731000.0
77496.0,47000.0
77498.0,0.0
77500.0,76000.0
77501.0,74000.0
77504.0,100000.0
77505.0,53000.0
77506.0,281000.0
77507.0,135000.0
77508.0,483000.0
77509.0,16000.0
77510.0,164000.0
77511.0,546000.0
77512.0,239000.0
77513.0,3531000.0
77514.0,12570000.0
77515.0,47000.0
77516.0,131000.0
77517.0,1866000.0
77518.0,0.0
77519.0,291000.0
77520.0,17000.0
77521.0,564000.0
77523.0,21000.0
77524.0,102000.0
77525.0,20000.0
77527.0,173000.0
77528.0,360000.0
77529.0,257000.0
77531.0,452000.0
77532.0,1000.0
77533.0,568000.0
78003.0,929000.0
78006.0,229000.0
78007.0,96000.0
78010.0,733000.0
78013.0,78000.0
78015.0,4770000.0
78020.0,4000.0
78030.0,872000.0
78031.0,66000.0
78033.0,154000.0
78036.0,225000.0
78043.0,627000.0
