Code;Libellé;Densité de population 2014;Nb de logements 2014;Nb de résidences principales 2014;Part des maisons dans le nb total de logements 2014;Part des locataires HLM dans les rés. principales 2014;Part des appartements dans le nb total de logements 2014;Part des logements vacants dans le nb total de logements 2014
75056;Paris;21066.8;1362182;1147991;1.0;17.9;96.7;7.9
77001;Achères-la-Forêt;3.4;603;470;93.4;96.4;0;2.5
77002;Amillis;8.6;395;297;40.3;82.1;0;6.8
77003;Amponville;5.1;193;155;30.6;99;0;0.6
77004;Andrezel;6.2;130;121;35.3;97.7;0;2.3
77005;Annet-sur-Marne;6;1323;1237;246.2;77.8;0;21.1
77006;Arbonne-la-Forêt;5.8;424;374;69.2;97.4;0;1.7
77007;Argentières;2.6;153;144;152.5;100;0;0
77008;Armentières-en-Brie;7.1;409;368;179;81.2;0;18.6
77009;Arville;11.8;68;55;10.8;100;0;0
77010;Aubepierre-Ozouer-le-Repos;9.8;387;340;33.5;92.1;0;7.1
77011;Aufferville;10.4;246;204;29.8;95.1;0;4.9
77012;Augers-en-Brie;6.6;136;115;22.6;100;0;0
77013;Aulnoy;1.8;161;144;26;97.5;0;2.5
77014;Avon;9.7;7531;6598;3637.1;25.7;13.7;72.7
77015;Baby;5.4;52;43;23.8;100;0;0
77016;Bagneaux-sur-Loing;6;780;714;320.9;57.9;42;41
77018;Bailly-Romainvilliers;4.8;3106;2727;928.5;54.7;14.9;43.3
77019;Balloy;6.8;166;130;24.7;97.5;0;2.5
77020;Bannost-Villegagnon;4.2;283;241;34.7;98.2;0;1.8
77021;Barbey;17.5;80;61;35.4;100;0;0
77022;Barbizon;12.3;837;565;232.4;87.6;0.2;12
77023;Barcy;7.7;104;95;40.6;99;0;1
77024;Bassevelle;7.5;148;130;19.4;94.6;0;4.7
77025;Bazoches-lès-Bray;6.5;433;352;37.4;91.2;0;2.5
77026;Beauchery-Saint-Martin;9.7;176;147;14.8;98.9;0;1.1
77027;Beaumont-du-Gâtinais;11.1;550;418;70.2;93.5;3.1;5.8
77028;Beautheil;3.9;284;260;40.2;98.2;0;1.4
77029;Beauvoir;8.1;104;86;51.3;93.4;0;6.6
77030;Bellot;9.1;374;299;47.7;91.7;0;7.5
77031;Bernay-Vilbert;6.2;372;325;49.5;95.4;0;3.5
77032;Beton-Bazoches;7.7;470;352;47.9;73.6;2;12.4
77033;Bezalles;2.3;86;82;95.1;98.8;0;1.2
77034;Blandy;9.2;329;282;49.3;90.2;0;9.2
77035;Blennes;3;302;216;27.7;100;0;0
77036;Boisdon;5.1;59;51;30.9;98.3;0;0
77037;Bois-le-Roi;5.7;2557;2228;811.1;89.3;1.1;10.4
77038;Boissettes;8.9;197;167;277.3;90.7;0;9.3
77039;Boissise-la-Bertrand;3.2;429;385;151.3;95.8;0.8;3.2
77040;Boissise-le-Roi;3;1426;1360;532.4;92.8;8.1;6.8
77041;Boissy-aux-Cailles;1.9;172;128;18.5;100;0;0
77042;Boissy-le-Châtel;7.1;1345;1193;313.1;93.8;0;5.4
77043;Boitron;5.2;172;142;74.7;98.9;0;0.6
77044;Bombon;7.7;353;312;59.3;96.6;0;2.9
77045;Bougligny;7.8;324;278;44.9;99.1;0;0.9
77046;Boulancourt;4.6;218;154;58.2;99.1;0;0.9
77047;Bouleurs;5.2;597;551;179.5;83.6;2;12.8
77048;Bourron-Marlotte;7.5;1356;1114;242.4;87.3;5.6;12.3
77049;Boutigny;6.3;349;319;88.4;95.7;0;2.9
77050;Bransles;17;290;209;39.4;95.6;0;3.7
77051;Bray-sur-Seine;17.2;1202;970;1037.7;56.1;18.6;38
77052;Bréau;7.1;141;125;243.7;99.3;0;0
77053;Brie-Comte-Robert;5.4;7343;6894;831.1;43.7;16.3;55.5
77054;La Brosse-Montceaux;6.3;317;289;65.6;98.1;6.6;1.9
77055;Brou-sur-Chantereine;4.2;2046;1821;1039.7;32;26.4;56.4
77056;Burcy;6.6;93;72;23.5;100;0;0
77057;Bussières;5.6;195;178;59.1;83.1;0.6;15.4
77058;Bussy-Saint-Georges;5;10759;10122;1935;31.3;12.1;67.1
77059;Bussy-Saint-Martin;3.7;293;274;268.2;92;0;7.7
77060;Buthiers;8.2;438;316;37.9;98;0;1.8
77061;Cannes-Écluse;6.4;1043;962;293.6;83.1;6.8;16.4
77062;Carnetin;10.4;211;188;281.4;80.1;0.5;19.4
77063;La Celle-sur-Morin;6.2;566;497;179.9;96.7;0.2;2.1
77065;Cély;6.1;506;443;186.8;98.4;0;1.6
77066;Cerneux;9.6;153;123;14.4;95.5;0;4.5
77067;Cesson;3.9;3947;3745;1404.7;80.6;8.1;18.1
77068;Cessoy-en-Montois;5.8;122;97;39.9;99.2;0;0.8
77069;Chailly-en-Bière;8.2;919;803;153.3;84.8;1.6;14.4
77070;Chailly-en-Brie;7;588;530;82.1;89.5;0;8.7
77071;Chaintreaux;7.7;426;344;38.3;99.3;0;0.5
77072;Chalautre-la-Grande;9.3;324;255;39.3;99.4;6.3;0
77073;Chalautre-la-Petite;5.3;265;231;64.2;98.1;0;1.9
77075;Chalifert;8.4;555;496;528.1;84;0;14
77076;Chalmaison;6.4;307;274;75.1;100;0;0
77077;Chambry;5.1;396;373;98.1;87.5;0;11.5
77078;Chamigny;6.3;552;498;98.3;93.7;0;6.1
77079;Champagne-sur-Seine;11.6;3064;2654;851.6;49.1;35;50.8
77080;Champcenest;5.6;89;75;15.8;93.3;0;6.7
77081;Champdeuil;6;285;265;182.6;84.3;1.5;14.6
77082;Champeaux;5.9;369;337;62.9;83.9;0.3;15.6
77083;Champs-sur-Marne;3.8;10542;9999;3414.4;28.5;28.7;69.7
77084;Changis-sur-Marne;8.7;484;423;163.2;92.1;4.4;7.9
77085;Chanteloup-en-Brie;6.2;1212;1123;1058.2;62.6;14.7;37.2
77086;La Chapelle-Gauthier;6;570;526;84.4;79.3;11.6;20.4
77087;La Chapelle-Iger;5.9;74;60;18.1;96.1;0;3.9
77088;La Chapelle-la-Reine;6.8;1033;944;157.4;71.6;19.1;27.6
77089;La Chapelle-Rablais;2.9;384;341;63.7;98.4;0;1.6
77090;La Chapelle-Saint-Sulpice;5.3;95;81;37;100;0;0
77091;Les Chapelles-Bourbon;3.4;147;135;62;88.6;0;11.4
77093;La Chapelle-Moutils;11.2;222;168;22.8;96;0;3.5
77094;Charmentray;8.3;107;97;55;84;0;15.1
77095;Charny;2.3;490;471;99.4;87.8;1.7;11.2
77096;Chartrettes;3.9;1146;1036;257;87.7;1.4;11.9
77097;Chartronges;1.8;113;105;36.7;99.1;0;0
77098;Châteaubleau;5.2;160;136;104.1;97.3;0;1.8
77099;Château-Landon;15.9;1709;1318;106.4;83.6;4.9;12.3
77100;Le Châtelet-en-Brie;6.8;1965;1773;195.3;83;7.2;15.1
77101;Châtenay-sur-Seine;7.9;431;382;76.3;99.3;0;0.7
77102;Châtenoy;11.9;76;66;34.9;98.6;0;1.4
77103;Châtillon-la-Borde;7.7;104;85;30.2;97.1;0;2.9
77104;Châtres;7.1;259;229;41.8;94.5;0;3.5
77106;Chauffry;7.1;431;376;197.9;95.4;0;4.2
77107;Chaumes-en-Brie;12.2;1468;1228;149.3;66.1;4;32
77108;Chelles;5.6;22598;21097;3377.9;45.4;21.2;52.4
77109;Chenoise;10;610;522;37.6;83.6;11.1;14.4
77110;Chenou;6.3;151;123;22.6;97.4;0;2
77111;Chessy;8.5;2130;1895;843.6;39.3;11.1;58.9
77112;Chevrainvilliers;11.8;129;96;25.3;100;0;0
77113;Chevru;4.2;411;365;79.1;96.4;0;3.3
77114;Chevry-Cossigny;2.7;1507;1445;238.5;76.8;8;23
77115;Chevry-en-Sereine;6;279;207;22.7;96.1;0.5;3.2
77116;Choisy-en-Brie;9.2;607;512;55.7;94.7;0;4
77117;Citry;14.2;400;309;166.5;84.5;0;12.9
77118;Claye-Souilly;4.2;4957;4688;785.7;58.8;12.2;40.1
77119;Clos-Fontaine;0.9;107;100;45.7;98.1;0;1.9
77120;Cocherel;8.3;241;213;77.5;93.8;0;4.6
77121;Collégien;3.1;1256;1213;779.6;69.7;23;30.1
77122;Combs-la-Ville;6.1;9127;8531;1526.9;54;15.6;45.3
77123;Compans;2.1;242;236;149.1;83.5;4.2;16.1
77124;Conches-sur-Gondoire;4;671;627;1134.2;93.7;1.3;5.7
77125;Condé-Sainte-Libiaire;3.5;596;539;655.8;94.8;0;4.2
77126;Congis-sur-Thérouanne;6.6;697;622;118.3;94;1.3;5.2
77127;Coubert;4.2;716;678;246.3;56.6;9;43.1
77128;Couilly-Pont-aux-Dames;5.6;874;787;459.2;83.8;0.1;14.6
77129;Coulombs-en-Valois;9.9;274;234;27.4;97.1;0;2.9
77130;Coulommes;10;178;158;112.2;96.1;0;3.3
77131;Coulommiers;8.3;7468;6775;1362.2;35.3;30.7;63.2
77132;Coupvray;6.7;1113;1027;348;96.4;1.7;3.4
77133;Courcelles-en-Bassée;4.7;109;94;22.7;97.2;0;1.9
77134;Courchamp;14.5;86;62;12.8;94;0;3.6
77135;Courpalay;9.5;554;484;99.8;95;0;4.8
77136;Courquetaine;6;84;76;25.8;100;1.3;0
77137;Courtacon;9.3;107;92;21.2;97.2;0;2.8
77138;Courtomer;5.5;236;201;112.1;97.5;0;1.3
77139;Courtry;2.8;2380;2302;1601.9;89.6;5;9.9
77140;Coutençon;0;129;106;46.9;97.7;0;2.3
77141;Coutevroult;6.8;421;373;137.4;80.6;0;15.4
77142;Crécy-la-Chapelle;10.8;2097;1763;270.6;68.3;3.1;31.3
77143;Crégy-lès-Meaux;4.4;1743;1654;1295.3;69.9;20.4;29.8
77144;Crèvecoeur-en-Brie;4.4;158;138;42.4;98.1;0;1.3
77145;Crisenoy;6.5;260;233;51.2;94.2;0;5.4
77146;Croissy-Beaubourg;1.5;778;763;172.7;94.7;10.1;4.6
77147;La Croix-en-Brie;11.7;327;266;22.8;98.2;0;1.8
77148;Crouy-sur-Ourcq;6.9;764;677;98;78.3;0.1;21.6
77149;Cucharmoy;11.5;122;99;17.4;100;0;0
77150;Cuisy;3.6;166;156;129.1;88.2;0;11.8
77151;Dagny;6.5;139;118;42.2;96.4;0;3.6
77152;Dammarie-les-Lys;5.6;9344;8780;2109.9;36.9;36.7;62.6
77153;Dammartin-en-Goële;4.7;3626;3435;988.6;65.8;7.3;33.7
77154;Dammartin-sur-Tigeaux;6.3;416;372;110.2;95.5;0;4.5
77155;Dampmart;6.5;1334;1228;548.5;77.2;9.9;22
77156;Darvault;9.8;456;355;108.2;96;1.1;2.9
77157;Dhuisy;9.6;141;115;36.2;94.3;0;5.7
77158;Diant;12.3;121;84;16.5;99.2;0;0.8
77159;Donnemarie-Dontilly;7.3;1290;1130;242.2;83.3;7.6;16.5
77161;Dormelles;7.1;397;309;62.4;98;0.6;1.2
77162;Doue;9.3;453;383;49.6;97.6;0;2.2
77163;Douy-la-Ramée;7.9;130;113;40.2;86.6;0;11
77164;Échouboulains;11.5;260;211;26.4;96.2;0;3.8
77165;Les Écrennes;5.3;233;212;31.9;97.5;0.9;2.5
77167;Égligny;5.2;146;125;19.5;98;0;2
77168;Égreville;13;1081;853;68.1;85.2;2.2;14.7
77169;Émerainville;2.9;2768;2688;1379.5;48.6;20.5;51.1
77171;Esbly;6.2;2731;2488;1994.9;70.3;4.7;29.1
77172;Esmans;4.6;393;359;50.5;96.4;0;3.3
77173;Étrépilly;6.6;331;305;65.9;92.2;0;7.5
77174;Everly;2.8;286;233;69.1;99.3;0;0.7
77175;Évry-Grégy-sur-Yerre;4.2;995;931;139.7;95.8;0;3.8
77176;Faremoutiers;8.5;1134;1012;238.8;81.3;3;17.8
77177;Favières;6.6;488;444;38.8;85.2;0;14.4
77178;Faÿ-lès-Nemours;10.4;230;185;61.1;90.9;0;8.7
77179;Féricy;6.5;291;230;62.4;97.9;0;2.1
77180;Férolles-Attilly;5.4;470;418;91.1;86.7;0;11.1
77181;Ferrières-en-Brie;14.2;1590;1075;415;48.6;6.2;51.1
77182;La Ferté-Gaucher;12;2328;2007;276.3;45.4;25;53.5
77183;La Ferté-sous-Jouarre;10.4;4826;4086;955.5;48.2;12.7;48.4
77184;Flagy;3.9;283;239;89.3;98.9;0;0.7
77185;Fleury-en-Bière;7.3;342;267;47.6;98.2;0;1.2
77186;Fontainebleau;13.3;8906;7318;85.1;25.4;13.3;73.8
77187;Fontaine-Fourches;9.7;259;210;50.4;97.7;1.9;1.6
77188;Fontaine-le-Port;8.2;496;388;122.1;89.5;0;10.1
77190;Fontains;8.5;118;102;16.1;99.2;0;0.8
77191;Fontenailles;8.1;439;385;39.4;96.1;0;3.5
77192;Fontenay-Trésigny;7;2279;2094;242.4;64.8;16;34.1
77193;Forfry;12.2;92;80;41;89.6;0;10.4
77194;Forges;8.6;164;148;32.1;85.8;3.4;13.6
