CODGEO;Libelle;Nb Pharmacies et parfumerie;Dynamique Entrepreneuriale;Dynamique Entrepreneuriale Service et Commerce;Synergie Medicale;Indice Evasion Client;Score Evasion Client;Indice Synergie Medicale;Score Synergie Medicale;Indice Demographique;Score Demographique;Indice Menages;Score Menages;Population;Evolution Population;Evolution Pop pourcentage;Nb Menages;Nb Residences Principales;Nb proprietaire;Nb Logement;Nb Residences Secondaires;Nb Log Vacants;Nb Occupants Residence Principale;Nb Femme;Nb Homme;Nb Mineurs;Nb Majeurs;Nb Etudiants;Nb Entreprises Secteur Services;Nb Entreprises Secteur Commerce;Nb Entreprises Secteur Construction;Nb Entreprises Secteur Industrie;Nb Creation Enteprises;Nb Creation Industrielles;Nb Creation Construction;Nb Creation Commerces;Nb Cr_ation Services;Nb Atifs;Nb Actifs Salaries;Nb Actifs Non Salaries;Nb Logement Secondaire et Occasionnel;Nb Hotel;Capacite Hotel;Taux Etudiants;Taux Propriete;Dynamique Demographique;Capacite Fiscale;Taux Evasion Client;Nb Education, sante, action sociale;Nb Services personnels et domestiques;Nb Sante, action sociale;Score Croissance Population;Score Croissance Entrepreneuriale
92002;Antony;8;2184;2978;1581;1118,04972;0,47796;1588,86527;2,09282;3648,53442;2,8153;3517,39272;2,10116;59849;4315;7;23342;23355;12252;25403;441;1607;56764;60478;55750;69938;46290;6368;1443;886;185;369;232;11;26;43;152;25763;23760;2003;441;3;224;3;48;-510;-2004;9;505;80;504;74,18033;0,78528
92004;Asnières-sur-Seine;5;3737;5028;1568;2236,09944;0,95592;1575,80059;2,07546;4622,89532;3,56714;5110,93346;3,05308;75832;5958;7;33917;34045;12842;39068;918;4105;75150;76956;69038;87905;58089;5528;1863;2024;350;670;534;22;74;121;317;35129;32181;2948;918;6;238;2;32;-646;-1294;18;398;142;386;74,18033;2,00427
92007;Bagneux;0;1278;1343;519;248,45549;0,10621;521,58196;0,67536;2268,71307;1,75059;2294,54798;1,37068;37215;3012;8;15227;15245;2979;16247;188;814;36388;38026;33942;43935;28033;2981;545;497;132;261;143;9;16;32;86;16310;15452;858;188;0;0;1;18;-362;0;2;149;37;160;74,59016;0,53313
92009;Bois-Colombes;2;1066;1447;680;496,91099;0,21243;683,38291;0,89025;1457,12158;1,12435;1615,84278;0,96524;23902;1164;4;10723;10693;5246;12338;257;1388;23689;25088;21242;27828;18502;1739;528;590;97;127;126;4;21;24;77;10631;9636;995;257;0;0;0;42;-116;530;4;128;45;129;72,95082;0,43227
92012;Boulogne-Billancourt;15;8148;13561;3053;4596,42664;1,96495;3068,18827;4,0575;6481,27095;5,0011;7886,03003;4,71081;106316;5625;5;52333;52390;19837;59791;2348;5053;104576;109688;96160;119763;86085;7924;6168;4405;444;1256;936;30;83;138;685;50659;44532;6127;2348;19;1094;4;33;-647;-5337;37;955;254;880;73,36066;2,85123
92014;Bourg-la-Reine;0;832;1200;496;372,68324;0,15932;498,46753;0,64466;1112,31865;0,85829;1217,26923;0,72715;18246;949;5;8078;8078;4076;9014;212;724;18002;18892;16482;20965;14409;1705;549;387;49;95;58;4;7;12;35;8095;7356;739;212;1;39;0;45;-111;450;3;213;39;211;73,36066;0,20749
92019;Ch_tenay-Malabry;0;867;1013;459;496,91099;0,21243;461,28346;0,59528;1862,76492;1,43735;1787,32735;1,06768;30556;2195;7;11861;11887;3690;12807;198;722;28404;30276;29044;35928;23392;3864;494;299;79;133;92;2;15;22;53;13186;12254;932;198;2;88;1;28;-260;0;4;151;20;161;74,18033;0,35561
92020;Ch_tillon;1;1193;1380;620;372,68324;0,15932;623,08442;0,81017;1743,03491;1,34497;1876,08343;1,1207;28592;1955;6;12450;12468;5346;13469;226;775;28081;29124;26160;33012;22272;1948;610;465;119;207;117;7;5;29;76;14081;13046;1035;226;1;80;1;39;-208;0;3;164;42;172;73,77049;0,46137
92022;Chaville;0;733;931;424;372,68324;0,15932;426,10934;0,54856;1094,63958;0,84465;1170,10344;0,69898;17956;919;5;7765;7779;3903;8520;162;579;17620;17790;17004;20648;14146;1421;458;271;55;93;70;1;8;16;45;8366;7742;624;162;1;128;0;45;-109;459;3;109;26;111;73,36066;0,26397
92023;Clamart;1;2316;2771;854;869,59423;0,37175;858,24854;1,12249;2963,92747;2,28704;3035,78929;1,81346;48619;1817;3;20146;20123;9830;21892;357;1412;47656;49702;44858;57059;37501;3592;1085;1062;254;429;214;12;22;54;126;21545;19409;2136;357;4;149;1;44;-177;0;7;311;85;311;72,54098;0,85243
