code,name,party
75056,Paris,PS
77001,Achères-la-Forêt,DVD
77002,Amillis,NA
77003,Amponville,NA
77004,Andrezel,NA
77005,Annet-sur-Marne,DVD
77006,Arbonne-la-Forêt,DVG
77007,Argentières,NA
77008,Armentières-en-Brie,DVD
77009,Arville,NA
77010,Aubepierre-Ozouer-le-Repos,UMP-LR
77011,Aufferville,NA
77012,Augers-en-Brie,NA
77013,Aulnoy,NA
77014,Avon,DVD
77015,Baby,NA
77016,Bagneaux-sur-Loing,DVG
77018,Bailly-Romainvilliers,UMP-LR
77019,Balloy,NA
77020,Bannost-Villegagnon,NA
77021,Barbey,NA
77022,Barbizon,DVD
77023,Barcy,NA
77024,Bassevelle,NA
77025,Bazoches-lès-Bray,NA
77026,Beauchery-Saint-Martin,NA
77027,Beaumont-du-Gâtinais,DVD
77028,Beautheil,NA
77029,Beauvoir,UMP-LR
77030,Bellot,NA
77031,Bernay-Vilbert,NA
77032,Beton-Bazoches,NA
77033,Bezalles,NA
77034,Blandy,NA
77035,Blennes,NA
77036,Boisdon,NA
77037,Bois-le-Roi,DVD
77038,Boissettes,NA
77039,Boissise-la-Bertrand,SE
77040,Boissise-le-Roi,DVD
77041,Boissy-aux-Cailles,NA
77042,Boissy-le-Châtel,DVD
77043,Boitron,NA
77044,Bombon,NA
77045,Bougligny,NA
77046,Boulancourt,NA
77047,Bouleurs,DVD
77048,Bourron-Marlotte,DVD
77049,Boutigny,NA
77050,Bransles,SE
77051,Bray-sur-Seine,PS
77052,Bréau,NA
77053,Brie-Comte-Robert,PS
77054,La Brosse-Montceaux,NA
77055,Brou-sur-Chantereine,UDI
77056,Burcy,NA
77057,Bussières,NA
77058,Bussy-Saint-Georges,UMP-LR
77059,Bussy-Saint-Martin,DVD
77060,Buthiers,NA
77061,Cannes-Ecluse,PS
77062,Carnetin,DVD
77063,La Celle-sur-Morin,SE
77065,Cély,DVD
77066,Cerneux,NA
77067,Cesson,DVD
77068,Cessoy-en-Montois,NA
77069,Chailly-en-Bière,DVD
77070,Chailly-en-Brie,DVD
77071,Chaintreaux,NA
77072,Chalautre-la-Grande,NA
77073,Chalautre-la-Petite,NA
77075,Chalifert,DVG
77076,Chalmaison,NA
77077,Chambry,NA
77078,Chamigny,DVD
77079,Champagne-sur-Seine,PS
77080,Champcenest,NA
77081,Champdeuil,PS
77082,Champeaux,NA
77083,Champs-sur-Marne,PCF
77084,Changis-sur-Marne,DVD
77085,Chanteloup-en-Brie,PS
77086,La Chapelle-Gauthier,DVD
77087,La Chapelle-Iger,NA
77088,La Chapelle-la-Reine,DVD
77089,La Chapelle-Rablais,NA
77090,La Chapelle-Saint-Sulpice,NA
77091,Les Chapelles-Bourbon,NA
77093,La Chapelle-Moutils,NA
77094,Charmentray,NA
77095,Charny,DVD
77096,Chartrettes,DVD
77097,Chartronges,NA
77098,Châteaubleau,NA
77099,Château-Landon,DVD
77100,Le Châtelet-en-Brie,DVD
