City;Unemployment rate
Ablon-sur-Seine (94001);11,5
Alfortville (94002);15,8
Arcueil (94003);13,8
Boissy-Saint-Léger (94004);15,4
Bonneuil-sur-Marne (94011);15,8
Bry-sur-Marne (94015);8,0
Cachan (94016);12,6
Champigny-sur-Marne (94017);14,9
Charenton-le-Pont (94018);10,1
Chennevières-sur-Marne (94019);14,8
Chevilly-Larue (94021);10,2
Choisy-le-Roi (94022);15,7
Créteil (94028);14,9
Fontenay-sous-Bois (94033);13,7
Fresnes (94034);8,7
Gentilly (94037);15,8
Haÿ-les-Roses (94038);11,8
Ivry-sur-Seine (94041);16,8
Joinville-le-Pont (94042);11,8
Kremlin-Bicêtre (94043);13,9
Limeil-Brévannes (94044);11,2
Maisons-Alfort (94046);10,1
Mandres-les-Roses (94047);9,1
Marolles-en-Brie (94048);7,8
Nogent-sur-Marne (94052);9,7
Noiseau (94053);8,5
Orly (94054);18,0
Ormesson-sur-Marne (94055);8,8
Périgny (94056);7,7
Perreux-sur-Marne (94058);9,2
Plessis-Trévise (94059);8,8
Queue-en-Brie (94060);10,8
Rungis (94065);7,4
Saint-Mandé (94067);9,3
Saint-Maur-des-Fossés (94068);8,9
Saint-Maurice (94069);9,0
Santeny (94070);9,4
Sucy-en-Brie (94071);10,2
Thiais (94073);11,9
Valenton (94074);17,8
Villecresnes (94075);8,0
Villejuif (94076);15,2
Villeneuve-le-Roi (94077);12,8
Villeneuve-Saint-Georges (94078);17,2
Villiers-sur-Marne (94079);10,7
Vincennes (94080);9,6
Vitry-sur-Seine (94081);17,7
