chomage,partis.2014
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
6.7,NA
12.1,DVD
9.0,NA
8.7,NA
14.7,DVD
6.7,NA
10.2,NA
6.7,DVD
7.8,SE
10.1,DVD
12.8,SE
14.8,PS
10.6,NA
10.2,UDI
4.6,NA
15.8,PS
6.4,PS
13.2,PCF
8.9,DVD
4.5,NA
11.9,UMP-LR
6.8,SE
10.6,PS
10.9,UMP-LR
7.9,PCF
13.2,NA
4.3,NA
9.0,UMP-LR
5.7,NA
11.7,UMP-LR
12.3,NA
7.2,NA
6.8,UMP-LR
11.1,UDI
7.9,DVD
7.3,NA
7.1,NA
11.9,DVD
8.6,DVD
6.8,DVD
7.6,DVD
8.2,DVD
7.3,NA
11.2,DVD
8.6,UMP-LR
10.2,PS
7.8,DVG
15.2,PS
16.1,DVD
7.2,NA
7.1,UMP-LR
7.8,UMP-LR
7.7,DVD
10.4,UMP-LR
7.7,NA
12.1,NA
13.1,NA
13.1,PS
12.1,UMP-LR
6.2,NA
7.7,UMP-LR
9.6,DVD
7.6,DVD
7.9,DVD
12.8,PS
7.7,DVD
14.0,NA
6.4,FG
15.3,PS
8.1,DVD
15.3,NA
8.5,DVD
8.5,SE
10.0,DVG
10.2,UMP-LR
6.8,NA
6.7,DVD
9.9,SE
10.8,PS
6.3,PS
8.6,NA
6.9,PCF
14.6,SE
11.5,UMP-LR
9.1,UMP-LR
6.2,NA
8.3,NA
11.5,DVG
9.7,UMP-LR
13.5,DVG
12.6,DVD
10.8,NA
6.6,DVD
7.9,NA
9.0,UDI
9.2,UDI
8.1,UMP-LR
7.2,UMP-LR
7.6,PS
10.7,NA
9.7,DVG
10.2,NA
20.5,NA
9.8,DVD
7.6,DVD
10.2,NA
14.0,PS
10.1,DVD
11.4,UMP-LR
8.2,NA
11.6,NA
9.4,PS
8.3,DVG
7.4,NA
9.3,NA
10.9,UMP-LR
5.4,DVD
11.6,UMP-LR
5.9,SE
11.2,NA
8.9,DVD
7.0,DVG
12.8,UMP-LR
7.4,UMP-LR
7.4,NA
10.6,DVD
6.8,UMP-LR
6.4,UMP-LR
7.9,DVD
7.0,UMP-LR
4.1,NA
13.5,SE
9.8,DVD
7.4,NA
10.8,UMP-LR
19.6,UMP-LR
6.4,UMP-LR
8.1,UMP-LR
7.5,DVD
12.0,NA
9.4,NA
9.5,UDI
8.9,UMP-LR
10.1,NA
7.0,NA
6.9,DVD
7.6,DVG
10.1,NA
9.6,NA
10.3,UMP-LR
10.7,UMP-LR
8.3,DVD
6.3,UMP-LR
9.6,EELV
8.3,NA
7.9,DVD
10.9,UMP-LR
9.3,UMP-LR
13.1,UMP-LR
7.3,DVD
6.0,DVD
7.4,NA
9.0,NA
9.9,PS
5.1,NA
9.2,DVD
7.0,UMP-LR
9.3,DVD
10.7,DVG
8.1,NA
9.2,UMP-LR
9.4,PS
7.5,UMP-LR
17.2,FN
6.1,DVD
6.8,SE
8.2,UMP-LR
10.1,UMP-LR
8.7,PS
8.8,UMP-LR
8.3,NA
7.8,DVD
8.6,DVD
8.7,DVD
7.9,UDI
20.4,PS
8.8,UMP-LR
8.1,UMP-LR
