,Ratio_personnel_2014,Cout_personnel_hab_2014,Impot_hab_2014,Ratio_investissement_2014,Ratio_fonctionnement_2014,budget_hab_2014,Pop2014,partis.2014_Centre,partis.2014_Droite,partis.2014_Gauche,partis.2014_Indefini,budget_2014,d1.2_2014,d1.3_2014,d1.4_2014,d1.5_2014,d1_2014,d2.1_2014,d2.2_2014,d2.3_2014,d2_2014,depenses_2014,r1.1_2014,r1.2_2014,r1.3_2014,r1_2014,r2.1_2014,r2.2_2014,r2_2014,recettes_2014
75114,,,,,,,141230.0,0,0,0,1,,,,,,,,,,,,,,,,,,,
75118,,,,,,,199135.0,0,0,0,1,,,,,,,,,,,,,,,,,,,
78621,0.4325308366770694,913.7000062786464,473.3785395868651,0.25504689006398085,0.7449531099360192,4298.2357003829975,31854.0,0,0,1,0,136916000.0,29105000.0,1123000.0,1048000.0,2353000.0,49157000.0,0.0,14486000.0,3496000.0,18133000.0,67290000.0,6204000.0,13791000.0,15079000.0,52839000.0,4962000.0,3286000.0,16787000.0,69626000.0
93014,0.36450704225352115,713.2930210804129,365.2490562255704,0.2569428430242135,0.7430571569757866,4056.3926101626967,29933.0,0,0,1,0,121420000.0,21351000.0,824000.0,2190000.0,2162000.0,42339000.0,0.0,12914000.0,2817000.0,16236000.0,58575000.0,7801000.0,19237000.0,10933000.0,47883000.0,4000000.0,2017000.0,14962000.0,62845000.0
93046,0.4971350613915416,790.4013881912416,620.827435042696,0.2315763319490292,0.7684236680509708,3216.2427508105393,43798.0,0,1,0,0,140865000.0,34618000.0,890000.0,3337000.0,1826000.0,53807000.0,0.0,12925000.0,2419000.0,15828000.0,69635000.0,7049000.0,9189000.0,27191000.0,54437000.0,5106000.0,749000.0,16793000.0,71230000.0
95585,0.4209904922050392,828.2536777644823,399.8381079749419,0.24776974014904823,0.7522302598509518,4025.9203209685365,56828.0,0,0,1,0,228785000.0,47068000.0,4100000.0,1280000.0,9150000.0,84458000.0,0.0,19313000.0,7518000.0,27345000.0,111803000.0,9323000.0,38270000.0,22722000.0,87641000.0,10700000.0,11526000.0,29341000.0,116982000.0
78551,0.3528124533744467,717.6530096105209,624.4562468386445,0.2399070525394574,0.7600929474605426,4190.313606474456,39540.0,0,1,0,0,165685000.0,28376000.0,733000.0,183000.0,3433000.0,58404000.0,0.0,17629000.0,3661000.0,22024000.0,80428000.0,6750000.0,11676000.0,24691000.0,67532000.0,0.0,2031000.0,17725000.0,85257000.0
75110,,,,,,,92228.0,0,0,0,1,,,,,,,,,,,,,,,,,,,
92012,0.36281584819185075,771.8063407083051,524.6264763484909,0.28420756938536845,0.7157924306146315,4292.789518246427,116927.0,0,1,0,0,501943000.0,90245000.0,3508000.0,4360000.0,9773000.0,176170000.0,0.0,54176000.0,11686000.0,72565000.0,248735000.0,7335000.0,15169000.0,61343000.0,183117000.0,6000000.0,3489000.0,70091000.0,253208000.0
93055,0.4327656022571277,1143.7139940202728,624.1522642747758,0.26633096952944746,0.7336690304705525,5586.4325822212495,54852.0,0,0,1,0,306427000.0,62735000.0,3103000.0,1052000.0,6036000.0,109239000.0,0.0,21122000.0,12065000.0,35724000.0,144963000.0,5026000.0,10443000.0,34236000.0,115577000.0,11500000.0,1906000.0,45887000.0,161464000.0
93008,0.39531154328366913,1074.3477485687117,575.9424711266071,0.31045891141942367,0.6895410885805763,5568.652310861942,50479.0,0,1,0,0,281100000.0,54232000.0,3570000.0,1991000.0,7464000.0,94510000.0,0.0,25786000.0,6308000.0,42678000.0,137188000.0,6057000.0,17398000.0,29073000.0,99320000.0,8500000.0,10477000.0,44592000.0,143912000.0
