dette_2014,Pop2014,partis.2014_Indefini,partis.2014_Gauche,partis.2014_Droite,partis.2014_Centre
,16717.0,1,0,0,0
,21263.0,1,0,0,0
,35077.0,1,0,0,0
,26796.0,1,0,0,0
,60030.0,1,0,0,0
,43134.0,1,0,0,0
,55486.0,1,0,0,0
,38257.0,1,0,0,0
,59389.0,1,0,0,0
,92228.0,1,0,0,0
,151542.0,1,0,0,0
,143922.0,1,0,0,0
,182318.0,1,0,0,0
,141230.0,1,0,0,0
,235366.0,1,0,0,0
,165745.0,1,0,0,0
,170186.0,1,0,0,0
,199135.0,1,0,0,0
,187156.0,1,0,0,0
,195468.0,1,0,0,0
135000.0,674.0,1,0,0,0
864000.0,1225.0,0,0,1,0
3000.0,282.0,1,0,0,0
2000.0,848.0,1,0,0,0
234000.0,1164.0,0,0,1,0
192000.0,690.0,1,0,0,0
0.0,563.0,1,0,0,0
896000.0,5605.0,0,0,1,0
766000.0,1180.0,0,0,0,1
2077000.0,2729.0,0,0,1,0
1000.0,545.0,0,0,0,1
3685000.0,2231.0,0,1,0,0
202000.0,329.0,1,0,0,0
3303000.0,4450.0,0,0,1,0
148000.0,602.0,1,0,0,0
4856000.0,6200.0,0,1,0,0
0.0,725.0,0,1,0,0
12841000.0,25096.0,0,1,0,0
608000.0,1139.0,0,0,1,0
52000.0,633.0,1,0,0,0
74143000.0,53708.0,0,0,1,0
4130000.0,3995.0,0,0,0,1
3987000.0,3329.0,0,1,0,0
12811000.0,22110.0,0,0,1,0
835000.0,790.0,0,1,0,0
3000.0,614.0,1,0,0,0
7000.0,245.0,1,0,0,0
240000.0,2008.0,0,0,1,0
427000.0,592.0,1,0,0,0
6914000.0,7532.0,0,0,1,0
223000.0,605.0,1,0,0,0
0.0,475.0,1,0,0,0
4998000.0,2801.0,0,0,1,0
18310000.0,14637.0,0,0,1,0
573000.0,1144.0,0,0,1,0
36000.0,715.0,1,0,0,0
0.0,158.0,1,0,0,0
6731000.0,8578.0,0,0,1,0
851000.0,1413.0,0,0,1,0
1094000.0,2415.0,0,0,1,0
218000.0,1153.0,0,0,1,0
779000.0,2556.0,0,0,1,0
384000.0,923.0,1,0,0,0
1671000.0,4152.0,0,0,1,0
1790000.0,7387.0,0,0,1,0
3533000.0,12131.0,0,1,0,0
1408000.0,1947.0,0,1,0,0
15418000.0,13833.0,0,1,0,0
234000.0,1094.0,0,0,1,0
257000.0,787.0,1,0,0,0
