"","X","partis.2014"
"3",78621,4
"4",93014,4
"5",93046,3
"6",95585,4
"9",92012,3
"10",93055,4
"11",93008,3
"12",93062,3
"16",77243,3
"17",95280,4
"18",78361,3
"20",94052,3
"21",93048,4
"22",95369,3
"23",95680,4
"24",92024,4
"25",78158,3
"26",77108,3
"27",93001,4
"28",94018,3
"29",93057,3
"31",77058,3
"32",78642,3
"33",78646,3
"34",95582,3
"35",93006,4
"36",94081,4
"37",78383,3
"38",93077,3
"39",93066,4
"41",78358,3
"42",92051,3
"43",95500,3
"44",92049,3
"45",93032,3
"46",78423,3
"47",78117,3
"48",93027,4
"49",93007,3
"50",92048,3
"51",94022,4
"52",77350,3
"53",78297,4
"54",94080,3
"56",93072,4
"57",91665,3
"58",92026,3
"59",91228,4
"60",94071,3
"61",94067,3
"62",77379,3
"63",94068,3
"64",91687,3
"65",78517,3
"67",78440,4
"68",93051,4
"69",92002,3
"70",91471,4
"71",95063,4
"72",91223,3
"73",78490,3
"74",91338,3
"75",78650,3
"76",92063,3
"77",91114,3
"78",92004,3
"79",93070,3
"80",93005,3
"81",92071,3
"82",94028,4
"83",94078,1
"84",91182,3
"85",95127,4
"86",95210,3
"87",92014,3
"88",94034,4
"89",77288,3
"90",77258,4
"91",77284,3
"92",77053,4
"93",91027,1
"94",93078,3
"95",78372,3
"96",92019,3
"97",77083,4
"98",91174,3
"99",93010,4
"100",92023,3
"101",95197,3
"102",94041,4
"103",94077,3
"104",91432,4
"105",92062,4
"106",92022,3
"107",77152,3
"108",77079,4
"109",93053,3
"110",92036,4
"111",77186,3
"112",95277,4
"113",77449,3
"114",91570,3
"115",78674,3
"116",77296,4
"117",94046,3
"118",78586,3
"119",94073,3
"120",92076,3
"121",93064,3
"122",93029,3
"123",92040,3
"124",95018,3
"125",78354,4
"126",77333,3
"127",95607,3
"128",91692,2
"129",94021,4
"130",77337,4
"131",77067,3
"132",95052,3
"133",91377,3
"134",92078,3
"135",94058,3
"136",93074,3
"137",95580,2
"138",92050,4
"139",92009,3
"140",91345,3
"141",78124,3
"142",94016,1
"143",92075,3
"144",93045,4
"145",78498,3
"146",92064,3
"147",77126,4
"148",95313,3
"149",91477,3
"150",92044,3
"151",92073,3
"152",95428,3
"153",93063,4
"154",91021,4
"155",77487,4
"156",93071,4
"157",95250,4
"158",77327,4
"159",92007,4
"160",91272,3
"161",93031,2
"162",77468,4
"163",94033,4
"164",78683,3
"165",95637,4
"166",77470,4
"167",95252,3
"168",92072,3
"169",93050,4
"170",94004,4
"171",95572,4
"172",77259,3
"173",95199,3
"174",78172,3
"175",91086,3
"176",78029,3
"177",77285,3
"178",78126,3
